game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_lg,pass_yds,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,,,,,,,,20.0,5.0,5.0,,19.0,48.0,,,,1.0,,2.0,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,,,,,,11.0,3.0,5.0,,8.0,16.0,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,,,,,,26.0,4.0,6.0,,12.0,67.0,,,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,,,,,,,21.0,5.0,7.0,,11.0,66.0,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,,,,,13.0,3.0,3.0,,3.0,27.0,,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,,,,,,,,13.0,3.0,4.0,,,17.0,,,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,,,,31.0,2.0,2.0,,2.0,51.0,,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,1.0,1.0,,,,,,,,12.0,4.0,5.0,1.0,9.0,39.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,1.0,1.0,,,,,,,,10.0,1.0,1.0,,5.0,10.0,,,,,,,
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,,,,,,,0.0,37.0,2.0,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,,,,,,0.0,67.0,4.0,,,,,,,,,,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,,,,,0.0,10.0,1.0,,,,,,,,,,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,,,,,0.0,48.0,5.0,,,,,,,,,,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,,,,,0.0,16.0,3.0,,,,,,,,,,,,,
6242,2022-08-04,2022,9,CFL,WPG,MTL,,,,,,,0.0,17.0,3.0,,,,,,,,,,,,,
6246,2022-08-11,2022,10,CFL,MTL,WPG,,,,,,,0.0,66.0,5.0,,,,,,,,,,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,,,,0.0,27.0,3.0,,,,,,,,,,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,,,,,,1.0,39.0,4.0,,,,,,,,,,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,,,,,0.0,10.0,1.0,,,,,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,,,,,0.0,51.0,2.0,,,,,,,,,,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,,,,,,0.0,17.0,2.0,,,,,,,,,,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,,,,,,0.0,8.0,1.0,,,,,,,,,,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,,,,1.0,121.0,5.0,,,,,,,,,,,,,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,,,,,,,0.0,46.0,4.0,,,,,,,,,,,,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,0.0,36.0,4.0,,,,,,,,,,,,,
9889293,2023-06-24,2023,3,CFL,SSK,CGY,,,,,,,0.0,27.0,4.0,,,,,,,,,,,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,,,,,0.0,13.0,1.0,,,,,,,,,,,,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,,,,,0.0,53.0,4.0,,,,,,,,,,,,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
