game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_kr,score_p,score_pr,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,,,,,,,39.0,1.0,,39.0,1.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,6.0,2.0,3.0,,5.0,7.0,36.0,3.0,1.0,73.0,2.0,1.0,,-1.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,,14.0,2.0,2.0,,22.0,23.0,41.0,4.0,,100.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,9.0,1.0,2.0,,9.0,9.0,24.0,3.0,,55.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,1.0,1.0,9.0,2.0,2.0,,,3.0,19.0,6.0,,102.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,,1.0,1.0,1.0,10.0,10.0,32.0,3.0,,92.0,4.0,11.0,,21.0,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,20.0,1.0,3.0,,20.0,20.0,20.0,1.0,,20.0,1.0,9.0,,9.0,,,,,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,10.0,1.0,2.0,,10.0,10.0,32.0,6.0,,132.0,2.0,14.0,,21.0,,,,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,18.0,2.0,2.0,,29.0,30.0,27.0,1.0,,27.0,5.0,33.0,,61.0,,,,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,,37.0,4.0,5.0,,46.0,52.0,30.0,4.0,,88.0,2.0,9.0,,7.0,,,,,,,
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,20.0,5.0,5.0,,26.0,27.0,41.0,6.0,,184.0,4.0,7.0,,-4.0,,,,,,,
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,,,6.0,8.0,2.0,28.0,89.0,28.0,5.0,,109.0,16.0,56.0,,106.0,,,2.0,,12.0,,2.0
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,23.0,3.0,3.0,,38.0,41.0,26.0,3.0,,67.0,4.0,11.0,,19.0,,,,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,7.0,2.0,2.0,,5.0,5.0,43.0,6.0,,148.0,1.0,2.0,,2.0,,,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,11.0,3.0,3.0,,13.0,24.0,25.0,2.0,,34.0,1.0,3.0,,3.0,,,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,2.0,3.0,1.0,1.0,10.0,33.0,3.0,,79.0,2.0,3.0,,-1.0,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,,,9.0,2.0,3.0,,14.0,15.0,29.0,3.0,,64.0,2.0,4.0,,5.0,,,,,,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,37.0,2.0,3.0,,37.0,40.0,64.0,7.0,,172.0,4.0,5.0,1.0,14.0,1.0,,,,8.0,1.0,1.0
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,,,26.0,2.0,2.0,,38.0,49.0,32.0,7.0,,155.0,4.0,25.0,,19.0,,,,,,,
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,9.0,5.0,5.0,,14.0,27.0,31.0,1.0,,31.0,1.0,-4.0,,-4.0,,,,,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,1.0,1.0,19.0,1.0,1.0,,14.0,19.0,28.0,5.0,,87.0,1.0,1.0,,1.0,,,,,,,
FOOTBALL_CFL_2017_8_18_CGY@BC,2017-08-18,2017,1,CFL,CGY,BC,,,,5.0,5.0,1.0,34.0,47.0,33.0,5.0,,101.0,1.0,3.0,,3.0,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,,,10.0,2.0,2.0,,9.0,9.0,49.0,4.0,,128.0,1.0,6.0,,6.0,,,,,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,6.0,1.0,2.0,,5.0,6.0,20.0,1.0,,20.0,4.0,18.0,,32.0,,,,,,,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,1.0,1.0,11.0,5.0,5.0,,20.0,26.0,41.0,3.0,,80.0,1.0,7.0,,7.0,,,,,,,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,,,,,,,,13.0,3.0,,17.0,3.0,5.0,,8.0,,,,,,,
FOOTBALL_CFL_2017_9_8_MTL@BC,2017-09-08,2017,1,CFL,MTL,BC,,,8.0,1.0,1.0,1.0,,8.0,36.0,4.0,,107.0,2.0,2.0,,2.0,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,4.0,1.0,1.0,,1.0,4.0,95.0,3.0,1.0,136.0,6.0,23.0,,18.0,,1.0,,,6.0,,1.0
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,9.0,1.0,1.0,,7.0,9.0,20.0,3.0,,44.0,3.0,11.0,,19.0,,,,,,,
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,,,13.0,4.0,4.0,,23.0,27.0,25.0,6.0,,126.0,2.0,2.0,,1.0,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,11.0,2.0,3.0,,7.0,18.0,22.0,2.0,,42.0,1.0,16.0,,16.0,,,,,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,8.0,1.0,2.0,,,8.0,35.0,5.0,,114.0,1.0,6.0,,6.0,,,,,,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,1.0,1.0,33.0,6.0,6.0,,60.0,71.0,32.0,3.0,,81.0,10.0,16.0,,43.0,,,,,,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,,,,,,,,,42.0,4.0,,103.0,3.0,4.0,,9.0,,,,,,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,12.0,3.0,4.0,,16.0,24.0,63.0,7.0,,218.0,4.0,8.0,,10.0,,,,,,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,,,,,,,26.0,2.0,,43.0,4.0,16.0,,36.0,,,,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,5.0,2.0,3.0,,7.0,9.0,74.0,4.0,,125.0,3.0,18.0,,27.0,,,,,,,
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,28.0,2.0,4.0,,28.0,36.0,27.0,2.0,1.0,50.0,4.0,2.0,,-10.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,1.0,3.0,,,,37.0,3.0,,104.0,3.0,7.0,,6.0,,,,,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,,,,,,,25.0,6.0,,116.0,4.0,10.0,,24.0,,,,,,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,16.0,5.0,6.0,,23.0,28.0,36.0,6.0,,136.0,4.0,5.0,,13.0,,,,,,,
