game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_3_29_TVEGASKNIGHTHAWKSG20260329KHXS@TTUCSONSUGARSKULLS,2026-03-29,2026,3,IFL,Vegas Knight Hawks,Tucson Sugar Skulls,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,,1.0,18.0,1.0,8.0,8.0,1.0,0.0,8.0,,,,,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,4.0,,
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,5.0,,
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,,,,,,,,,,,,,,,,,,,,,,18.3,32.0,,1.0,55.0,3.0,2.0,2.0,1.0,1.0,2.0,,,,,,
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,1.0,,,,,,1.0,0.0,,,,,,,,,,,,,,11.0,11.0,,0.0,11.0,1.0,2.5,3.0,2.0,0.0,5.0,,,3.0,4.0,,
FOOTBALL_IFL_2026_5_31_TQUADCITYSTEAMWHEELERSG20260531JQPF@TVEGASKNIGHTHAWKS,2026-05-31,2026,12,IFL,Quad City Steamwheelers,Vegas Knight Hawks,1.0,,,,,,,,,,0.0,,,,,,1.0,1.0,9.0,0.0,9.0,12.3,26.0,,4.0,135.0,11.0,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_6_7_TVEGASKNIGHTHAWKSG202606072NRX@TNAZWRANGLERS,2026-06-07,2026,13,IFL,Vegas Knight Hawks,NAZ Wranglers,1.0,,,,,,,,,,,,,,,,,,,,,12.8,23.0,,2.0,102.0,8.0,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_6_13_TTUCSONSUGARSKULLSG20260613XZNU@TVEGASKNIGHTHAWKS,2026-06-13,2026,14,IFL,Tucson Sugar Skulls,Vegas Knight Hawks,,,,,,,,,,,,,,,,,,,,,,11.9,28.0,,1.0,83.0,7.0,,,,,,,,,,,
FOOTBALL_IFL_2026_6_19_TVEGASKNIGHTHAWKSG20260619D0ZS@TSANDIEGOSTRIKEFORCE,2026-06-19,2026,15,IFL,Vegas Knight Hawks,San Diego Strike Force,0.0,,,,,,,,1.0,1.0,,,,,,,,,,,,12.2,20.0,,2.0,61.0,5.0,11.3,22.0,3.0,2.0,34.0,,,2.0,2.0,1.0,0.0
FOOTBALL_IFL_2026_7_5_TVEGASKNIGHTHAWKSG20260705XNDJ@TNEWMEXICOCHUPACABRAS,2026-07-05,2026,17,IFL,Vegas Knight Hawks,New Mexico Chupacabras,1.0,,,,,,,,,,,,,,,,,,,,,24.5,25.0,,2.0,49.0,2.0,2.0,2.0,1.0,0.0,2.0,,,1.0,2.0,,
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,1.0,,,,,,,,,,,,,,,,,,,,,11.0,25.0,,2.0,66.0,6.0,6.0,7.0,3.0,0.0,18.0,,,0.0,1.0,,
FOOTBALL_IFL_2026_7_25_TNAZWRANGLERSG20260725S86X@TVEGASKNIGHTHAWKS,2026-07-25,2026,20,IFL,NAZ Wranglers,Vegas Knight Hawks,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,0.0,5.0,1.0,3.7,4.0,3.0,1.0,11.0,,,,,,
