game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
FOOTBALL_IFL_2026_4_4_TTUCSONSUGARSKULLSG202604045N9L@TNEWMEXICOCHUPACABRAS,2026-04-04,2026,4,IFL,Tucson Sugar Skulls,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,10.0,18.0,,1.0,50.0,5.0,,2.4,8.0,5.0,,0.0,12.0,,,
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,6.7,16.0,,1.0,47.0,7.0,,1.3,5.0,9.0,,1.0,12.0,,,
FOOTBALL_IFL_2026_4_19_TNEWMEXICOCHUPACABRASG20260419817Y@TTUCSONSUGARSKULLS,2026-04-19,2026,6,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,,,,,,,,,3.0,,,,,,17.7,39.0,0.0,53.0,,,,,,15.3,31.0,,0.0,61.0,4.0,,1.3,6.0,8.0,,0.0,10.0,,,
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,,,,,,,,,1.0,38.7,0.0,0.0,116.0,3.0,7.0,7.0,0.0,7.0,,,,,,4.0,6.0,,0.0,8.0,2.0,,4.0,11.0,7.0,,0.0,28.0,,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,5.3,11.0,,0.0,21.0,4.0,,0.4,7.0,8.0,,0.0,3.0,,,
FOOTBALL_IFL_2026_5_31_TSANDIEGOSTRIKEFORCEG20260531B8VC@TNEWMEXICOCHUPACABRAS,2026-05-31,2026,12,IFL,San Diego Strike Force,New Mexico Chupacabras,,,,,,,,,1.0,,,,,,6.0,6.0,0.0,6.0,,,,,,4.8,7.0,,0.0,19.0,4.0,,2.1,14.0,13.0,,2.0,27.0,,,
FOOTBALL_IFL_2026_6_7_TNEWMEXICOCHUPACABRASG20260607JMSK@TTUCSONSUGARSKULLS,2026-06-07,2026,13,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,,,,,,,,,1.0,,,,,,20.0,20.0,0.0,20.0,,,,,,3.7,8.0,,1.0,11.0,3.0,,1.3,6.0,9.0,,1.0,12.0,,,
FOOTBALL_IFL_2026_6_13_TNEWMEXICOCHUPACABRASG20260613T2YA@TSANANTONIOGUNSLINGERS,2026-06-13,2026,14,IFL,New Mexico Chupacabras,San Antonio Gunslingers,,,,,,,,0.0,4.0,,,,,,6.5,10.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.5,3.0,,0.0,3.0,2.0,,1.4,7.0,8.0,,0.0,11.0,,,
FOOTBALL_IFL_2026_6_21_TNAZWRANGLERSG20260621XMS9@TNEWMEXICOCHUPACABRAS,2026-06-21,2026,15,IFL,NAZ Wranglers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,17.0,15.0,,3.0,76.0,,,
FOOTBALL_IFL_2026_6_27_TNEWMEXICOCHUPACABRASG20260627NH6Q@TARIZONARATTLERS,2026-06-27,2026,16,IFL,New Mexico Chupacabras,Arizona Rattlers,,,,,,,,,1.0,,,,,,22.0,22.0,0.0,22.0,,,,,,5.0,5.0,,0.0,5.0,1.0,,1.6,12.0,8.0,,2.0,13.0,,,
FOOTBALL_IFL_2026_7_5_TVEGASKNIGHTHAWKSG20260705XNDJ@TNEWMEXICOCHUPACABRAS,2026-07-05,2026,17,IFL,Vegas Knight Hawks,New Mexico Chupacabras,,,,,,,,0.0,1.0,,,,,,7.0,7.0,0.0,7.0,6.0,1.0,36.0,1.0,36.0,4.0,4.0,,0.0,4.0,1.0,,-0.8,12.0,12.0,,0.0,-10.0,,,
FOOTBALL_IFL_2026_7_12_TNEWMEXICOCHUPACABRASG20260712U4S4@TNAZWRANGLERS,2026-07-12,2026,18,IFL,New Mexico Chupacabras,NAZ Wranglers,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,0.0,4.0,1.0,,4.6,15.0,17.0,,3.0,79.0,,,
FOOTBALL_IFL_2026_7_18_TNEWMEXICOCHUPACABRASG20260718EEFK@TSANDIEGOSTRIKEFORCE,2026-07-18,2026,19,IFL,New Mexico Chupacabras,San Diego Strike Force,,,,,,,,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.3,13.0,,0.0,29.0,4.0,,1.8,4.0,6.0,,0.0,11.0,,,
