game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_pts,score_r,score_tot
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,,,,,,,,,,2.0,3.0,,5.0,,,,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,,,,,,,,,,,,3.0,11.0,,16.0,,,,,,
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,0.0,,,,,,,,,0.0,148.0,,,,,1.0,12.0,,,,
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,,,,,,,,,,,,,,0.0,6.0,,,,
10798144,2024-05-25,2024,2,CFL,BC,CGY,,,,,,,,,,,,,,,,2.0,8.0,,,,
10798025,2024-06-21,2024,3,CFL,BC,WPG,,,,,,,,,,,,,,,,1.0,2.0,,,,
10798028,2024-06-27,2024,4,CFL,EDM,BC,,,,,,,,,,,,,,,,1.0,3.0,,,,
10798038,2024-07-13,2024,6,CFL,SSK,BC,,,,,,,,,,,,,,,,2.0,5.0,,,,
SYNTHETIC_CFL_2024_W8_BC,,2024,8,CFL,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
10798048,2024-08-01,2024,9,CFL,BC,WPG,,,,,,,,,,,,,,,,0.0,1.0,,,,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,,,,,,,,,,,,,,,1.0,7.0,,,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,,,,,,,,,,,,,,,0.0,2.0,,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,,,,,,,,,,,,,,,0.0,7.0,,,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,,,,,,,,,,,,,,1.0,4.0,,,,
SYNTHETIC_CFL_2024_W16_BC,,2024,16,CFL,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
10798080,2024-09-27,2024,17,CFL,HAM,BC,,,,,,,,,,,,,,,,0.0,1.0,,,,
10798084,2024-10-04,2024,18,CFL,CGY,BC,,,,,,,,,,,,,,,,0.0,2.0,,,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,,,,,,,,,,,,,,,,1.0,3.0,,,,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,0.0,,,,,,,,,1.0,36.0,,,,,0.0,9.0,,,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,1.0,,,,,,,,,2.0,128.0,,,,,0.0,76.0,,,,
