game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_tar,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,,25.0,14.0,,29.0,,,,110.0,,,,,,,7.0,8.0,1.0,23.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,,,,,,,,,,,,,,,,,,,5.0,2.0,,6.0,,,,,,,,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2022_6_30_BC@OTT,2022-06-30,2022,1,CFL,BC,OTT,,,,,1.0,1.0,,3.0,,,,3.0,,,,,,,3.0,2.0,1.0,4.0,,,,1.0,8.0,1.0,1.0,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,,,,,30.0,18.0,2.0,50.0,19.0,3.0,1.0,203.0,,,,,,,8.0,26.0,2.0,62.0,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,1.0,1.0,,,40.0,25.0,,42.0,13.0,2.0,1.0,297.0,,,,,,,8.0,11.0,2.0,52.0,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,,,,,29.0,24.0,,46.0,25.0,3.0,2.0,286.0,,,,,,,7.0,11.0,,31.0,,,,,,,,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,,,,6.0,2.0,1.0,35.0,12.0,1.0,,58.0,,,,,,1.0,2.0,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,,,16.0,10.0,,50.0,10.0,1.0,,111.0,,,,,,,9.0,,1.0,82.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_8_27_OTT@EDM,2022-08-27,2022,1,CFL,OTT,EDM,,,,,1.0,1.0,,33.0,,,,33.0,,,,,,,5.0,3.0,2.0,7.0,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2022_8_5_CGY@OTT,2022-08-05,2022,1,CFL,CGY,OTT,,,,,21.0,10.0,1.0,19.0,20.0,2.0,,66.0,,,,,,,2.0,4.0,,6.0,,,,,,,,
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,,,,,,,,,5.0,1.0,,,,,,,,,3.0,5.0,1.0,9.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,1.0,1.0,,,17.0,10.0,3.0,36.0,12.0,2.0,,137.0,,,,,,,6.0,7.0,,17.0,,,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,,,,,,,,,,,,,,,,,6.0,8.0,1.0,25.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,,,,,,,,,,,,,,,,,,,2.0,2.0,,4.0,,,,,,,,
SYNTHETIC_CFL_2022_W1_OTT,,2022,1,CFL,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,
SYNTHETIC_CFL_2022_W4_OTT,,2022,4,CFL,,,,,0.0,,,,,,,,,,0.0,3.0,,,,,,,,,1.0,4.0,,,,,,
SYNTHETIC_CFL_2022_W5_OTT,,2022,5,CFL,,,,,1.0,,,,,,,,,,0.0,58.0,0.0,0.0,0.0,,,,,,0.0,1.0,,,,,,
6233,2022-07-16,2022,6,CFL,OTT,HAM,,,2.0,,,,,,,,,,1.0,203.0,,,,,,,,,2.0,62.0,,,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,0.0,,,,,,,,,,1.0,297.0,,,,,,,,,2.0,52.0,,,,,,
6241,2022-07-31,2022,8,CFL,OTT,TOR,,,0.0,,,,,,,,,,2.0,286.0,,,,,,,,,0.0,31.0,,,,,,
6243,2022-08-05,2022,9,CFL,CGY,OTT,,,1.0,,,,,,,,,,0.0,66.0,,,,,,,,,0.0,6.0,,,,,,
6250,2022-08-19,2022,11,CFL,EDM,OTT,,,0.0,,,,,,,,,,0.0,111.0,,,,,,,,,1.0,82.0,,,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,,,,,,,,,,,,,,,,,,,,,,1.0,25.0,,,,,,
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,3.0,,,,,,,,,,0.0,137.0,,,,,,,,,0.0,17.0,,,,,,
6273,2022-09-30,2022,17,CFL,OTT,BC,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,
6284,2022-10-21,2022,20,CFL,OTT,HAM,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,0.0,,,,,,,,,,0.0,3.0,,,,,,,,,0.0,5.0,,,,,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,1.0,,,,,,,,,,1.0,149.0,,,,,,,,,2.0,66.0,,,,,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,2.0,0.0,,,,,,,,,2.0,333.0,,,,,,,,,1.0,45.0,0.0,,,,,1.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,0.0,,,,,,,,,,0.0,5.0,,,,,,,,,0.0,1.0,,,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,1.0,,,,,,,,,,0.0,56.0,,,,,,,,,0.0,3.0,,,,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,1.0,6.0,,,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,0.0,,,,,,,,,,0.0,34.0,,,,,,,,,1.0,14.0,,,,,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,,,,,,
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,0.0,,,,,,,,,,0.0,30.0,,,,,,,,,0.0,7.0,,,,,,
10798016,2024-06-06,2024,1,CFL,MTL,WPG,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
10798146,2024-05-25,2024,2,CFL,TOR,MTL,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,
10798024,2024-06-20,2024,3,CFL,OTT,MTL,,,0.0,,,,,,,,,,0.0,1.0,,,,,,,,,1.0,12.0,,,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,,0.0,,,,,,,,,,1.0,49.0,,,,,,,,,1.0,1.0,,,,,,
10798034,2024-07-06,2024,5,CFL,CGY,MTL,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,,2.0,,,,,,,,,,2.0,127.0,,,,,,,,,0.0,18.0,,,,,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,,0.0,,,,,,,,,,0.0,91.0,,,,,,,,,0.0,4.0,,,,,,
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,,0.0,,,,,,,,,,1.0,39.0,,,,,,,,,1.0,10.0,,,,,,
11824046,2025-06-06,2025,1,CFL,TOR,MTL,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,
11824050,2025-06-13,2025,2,CFL,MTL,OTT,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
11824058,2025-06-27,2025,4,CFL,MTL,HAM,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,5.0,,,,,,
11824063,2025-07-05,2025,5,CFL,BC,MTL,,,0.0,,,,,,,,,,0.0,14.0,,,,,,,,,0.0,14.0,,,,,,
11824072,2025-07-24,2025,8,CFL,MTL,CGY,,,0.0,,,,,,,,,,0.0,42.0,,,,,,,,,0.0,5.0,,,,,,
11824079,2025-08-02,2025,9,CFL,SSK,MTL,,,0.0,,,,,,,,,,0.0,6.0,,,,,,,,,0.0,10.0,,,,,,
11824081,2025-08-08,2025,10,CFL,EDM,MTL,,,0.0,,,,,,,,,,1.0,113.0,,,,,,,,,0.0,10.0,,,,,,
11824087,2025-08-16,2025,11,CFL,MTL,BC,,,0.0,,,,,,,,,,0.0,32.0,,,,,,,,,,,,,,,,
