game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,tackles,xp_attempts,xp_made
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,,,,,,,,2.0,1.0,1.0,,,,,,,26.0,19.0,25.0,2.0,188.0,-5.0,0.0,0.0,-5.0,1.0,,4.0,4.0,1.0,0.0,4.0,,,,,
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,,,,,,,,1.0,1.0,2.0,,0.0,,,,,28.0,16.0,36.0,2.0,171.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,0.0,0.0
FOOTBALL_IFL_2026_4_11_TSANDIEGOSTRIKEFORCEG202604116LJB@TTUCSONSUGARSKULLS,2026-04-11,2026,5,IFL,San Diego Strike Force,Tucson Sugar Skulls,,,,,,,,1.0,0.0,2.0,,,,,,,34.0,18.0,30.0,5.0,176.0,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_17_TQUADCITYSTEAMWHEELERSG20260417A5V1@TSANDIEGOSTRIKEFORCE,2026-04-17,2026,6,IFL,Quad City Steamwheelers,San Diego Strike Force,,,,,,,,,,1.0,,,,,,,27.0,22.0,33.0,9.0,276.0,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,,,,,,,,,,0.0,,,,,,,32.0,17.0,37.0,2.0,182.0,,,,,,,0.5,1.0,2.0,1.0,1.0,,,,,
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,,,,,,,,,,0.0,,,,,,,43.0,27.0,17.0,5.0,209.0,,,,,,,2.3,5.0,3.0,0.0,7.0,,,,,
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,,,,,,,,,,1.0,,,,,,,38.0,20.0,20.0,4.0,180.0,,,,,,,3.3,7.0,3.0,0.0,10.0,,,,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,,,,,,,,,,1.0,,,,,,,17.0,13.0,30.0,5.0,166.0,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_31_TSANDIEGOSTRIKEFORCEG20260531B8VC@TNEWMEXICOCHUPACABRAS,2026-05-31,2026,12,IFL,San Diego Strike Force,New Mexico Chupacabras,,,,,,,,,,0.0,,,,,,,27.0,13.0,27.0,5.0,201.0,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,,,,,,,,,,0.0,,,,,,,26.0,17.0,21.0,3.0,187.0,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_6_19_TVEGASKNIGHTHAWKSG20260619D0ZS@TSANDIEGOSTRIKEFORCE,2026-06-19,2026,15,IFL,Vegas Knight Hawks,San Diego Strike Force,,,,,,,,1.0,1.0,1.0,,,,,,,28.0,18.0,36.0,3.0,205.0,,,,,,,2.5,3.0,2.0,0.0,5.0,,,,,
FOOTBALL_IFL_2026_6_28_TSANDIEGOSTRIKEFORCEG20260628FR6E@TJACKSONVILLESHARKS,2026-06-28,2026,16,IFL,San Diego Strike Force,Jacksonville Sharks,,,,,,,,,,1.0,,,,,,,18.0,14.0,31.0,2.0,161.0,,,,,,,9.0,9.0,2.0,0.0,18.0,,,,,
FOOTBALL_IFL_2026_7_6_TARIZONARATTLERSG20260706J8KX@TSANDIEGOSTRIKEFORCE,2026-07-06,2026,17,IFL,Arizona Rattlers,San Diego Strike Force,,,,,,,,,,1.0,,,,,,,25.0,12.0,27.0,3.0,145.0,3.0,3.0,1.0,3.0,1.0,,8.0,8.0,1.0,0.0,8.0,,,,,
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,,,,,,,,,,1.0,,,,,,,20.0,11.0,31.0,2.0,140.0,,,,,,,3.3,4.0,3.0,1.0,10.0,,,,,
FOOTBALL_IFL_2026_7_18_TNEWMEXICOCHUPACABRASG20260718EEFK@TSANDIEGOSTRIKEFORCE,2026-07-18,2026,19,IFL,New Mexico Chupacabras,San Diego Strike Force,,,,,,,,1.0,1.0,0.0,,,,,,,7.0,6.0,45.0,3.0,157.0,,,,,,,,,,,,,,,,
