game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,tackles
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,,,,20.0,3.0,4.0,25.0,30.0,9.0,6.0,23.0,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,,,,,,,3.0,2.0,3.0,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,,,,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,45.0,,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,6.0,2.0,2.0,6.0,6.0,6.0,12.0,31.0,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,,,,,,,2.0,,,5.0,27.0,56.0,,,,,,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,,,,6.0,2.0,2.0,4.0,4.0,7.0,31.0,41.0,,,,,,
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,,,,0.0,16.0,3.0,,,,,,,,,0.0,98.0,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,,,0.0,18.0,2.0,,,,,,,,,0.0,29.0,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,,,0.0,10.0,3.0,,,,,,,,,0.0,45.0,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,,,,,,,,,,,,,,0.0,35.0,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,,0.0,11.0,1.0,,,,,,,,,0.0,11.0,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,,0.0,0.0,0.0,,,,,,,,,0.0,79.0,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,,0.0,49.0,5.0,,,,,,,,,0.0,22.0,,,,
6242,2022-08-04,2022,9,CFL,WPG,MTL,,,,0.0,1.0,1.0,,,,,,,,,0.0,45.0,,,,
6246,2022-08-11,2022,10,CFL,MTL,WPG,,,,0.0,30.0,3.0,,,,,,,,,0.0,23.0,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,,,,,,,,,,,,0.0,3.0,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,,,0.0,0.0,0.0,,,,,,,,,0.0,56.0,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,,0.0,4.0,2.0,,,,,,,,,0.0,41.0,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,,0.0,6.0,2.0,,,,,,,,,0.0,31.0,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,,,0.0,0.0,0.0,,,,,,,,,0.0,23.0,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,,,0.0,20.0,2.0,,,,,,,,,,,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,0.0,6.0,1.0,,,,,,,,,0.0,0.0,,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,,,,,,,,,,,,,0.0,6.0,,,,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,,,,,,,,,,,,,,0.0,4.0,,,,
9889301,2023-07-09,2023,5,CFL,MTL,BC,,,,0.0,0.0,1.0,,,,,,,,,,,,,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,,0.0,8.0,1.0,,,,,,,,,0.0,12.0,,,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,,,0.0,4.0,1.0,,,,,,,,,0.0,6.0,,,,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,,,0.0,5.0,1.0,,,,,,,,,0.0,2.0,,,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,,,,,,,,,,,,,1.0,47.0,,,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,0.0,,,,,,,,,,,,0.0,3.0,0.0,,,1.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,0.0,,,,,,,,,,,,,,0.0,,,0.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,,0.0,11.0,1.0,,,,,,,,,0.0,58.0,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,0.0,6.0,1.0,,,,,,,,,,,,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,,,,,,,,,,,,0.0,17.0,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,,0.0,4.0,1.0,,,,,,,,,0.0,7.0,,,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,0.0,0.0,0.0,1.0,,,,,,,,,0.0,16.0,0.0,,,0.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,,,,,,,,,,,,,0.0,35.0,,,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,,0.0,19.0,2.0,,,,,,,,,0.0,4.0,,,,
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,0.0,0.0,18.0,1.0,,,,,,,,,0.0,18.0,0.0,,,0.0
10798146,2024-05-25,2024,2,CFL,TOR,MTL,,,,,,,,,,,,,,,0.0,4.0,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,,,0.0,0.0,1.0,,,,,,,,,,,,,,
10798034,2024-07-06,2024,5,CFL,CGY,MTL,,,,0.0,0.0,0.0,,,,,,,,,0.0,-2.0,,,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,,,,,,,,,,,,,,0.0,2.0,,,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,,,0.0,5.0,1.0,,,,,,,,,0.0,0.0,,,,
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,,,0.0,0.0,1.0,,,,,,,,,0.0,5.0,,,,
10798054,2024-08-10,2024,10,CFL,HAM,MTL,,,,0.0,7.0,1.0,,,,,,,,,,,,,,
10798057,2024-08-16,2024,11,CFL,MTL,SSK,,,,,,,,,,,,,,,0.0,0.0,,,,
10798063,2024-08-25,2024,12,CFL,EDM,MTL,,,,0.0,9.0,1.0,,,,,,,,,,,,,,
10798077,2024-09-21,2024,16,CFL,MTL,OTT,,,,,,,,,,,,,,,0.0,11.0,,,,
10798089,2024-10-14,2024,19,CFL,OTT,MTL,,,,,,,,,,,,,,,0.0,2.0,,,,
10798092,2024-10-19,2024,20,CFL,MTL,BC,,,,,,,,,,,,,,,0.0,71.0,,,,
11824047,2025-06-07,2025,1,CFL,HAM,CGY,,,,,,,,,,,,,,,0.0,30.0,,,,
11824076,2025-07-31,2025,9,CFL,CGY,OTT,,,,,,,,,,,,,,,0.0,0.0,,,,
11824091,2025-08-23,2025,12,CFL,SSK,CGY,,,,,,,,,,,,,,,0.0,15.0,,,,
11824098,2025-09-06,2025,14,CFL,CGY,EDM,,,,,,,,,,,,,,,0.0,7.0,,,,
11824104,2025-09-19,2025,16,CFL,BC,CGY,,,,,,,,,,,,,,,0.0,4.0,,,,
