game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2021_8_21_WPG@TOR,2021-08-21,2021,1,CFL,WPG,TOR,,,,,,23.0,1.0,1.0,,7.0,23.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,,,2.0,2.0,1.0,1.0,28.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_9_10_HAM@TOR,2021-09-10,2021,1,CFL,HAM,TOR,,,,,,8.0,3.0,4.0,,8.0,18.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,,,,,,6.0,1.0,2.0,,,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,,,,,,,4.0,5.0,1.0,18.0,38.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,,,,,45.0,6.0,8.0,,14.0,88.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,,,,24.0,4.0,7.0,,23.0,64.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,,,12.0,4.0,8.0,,20.0,36.0,33.0,4.0,82.0,2.0,7.0,9.0,,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,,,,7.0,8.0,1.0,58.0,117.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,,,,21.0,6.0,9.0,,41.0,84.0,,,,1.0,,,,,,,,
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,,,,,9.0,9.0,1.0,35.0,97.0,,,,2.0,7.0,3.0,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,,,,,,3.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,,,,,,21.0,6.0,8.0,,24.0,66.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,,,,,19.0,2.0,3.0,,23.0,32.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,1.0,1.0,,,,15.0,4.0,7.0,,5.0,39.0,5.0,1.0,5.0,,,,,,,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,,,,,,8.0,8.0,1.0,92.0,152.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,,,,,,22.0,6.0,8.0,,41.0,84.0,25.0,3.0,45.0,1.0,10.0,10.0,,,,,,
FOOTBALL_CFL_2022_7_4_WPG@TOR,2022-07-04,2022,1,CFL,WPG,TOR,,,,,,24.0,5.0,5.0,,26.0,67.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,,,16.0,4.0,5.0,,,38.0,26.0,5.0,106.0,,,,,,,,,
FOOTBALL_CFL_2022_8_20_CGY@TOR,2022-08-20,2022,1,CFL,CGY,TOR,,,,,,9.0,6.0,7.0,,21.0,41.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,,,14.0,4.0,9.0,1.0,10.0,26.0,17.0,2.0,24.0,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,,,,8.0,1.0,3.0,,7.0,8.0,23.0,2.0,45.0,,,,,,,,,
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,,,,,,45.0,8.0,12.0,1.0,55.0,161.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,,,,,,,3.0,4.0,1.0,14.0,41.0,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,,,,,23.0,3.0,5.0,,23.0,45.0,,,,1.0,2.0,2.0,,,,,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,,,0.0,39.0,4.0,,,,,,,,,,,,,,,,,,
6237,2022-07-24,2022,7,CFL,TOR,SSK,,,1.0,152.0,8.0,,,,,,,,,,,,,,,,,,
6241,2022-07-31,2022,8,CFL,OTT,TOR,,,0.0,84.0,6.0,,,,,,,,,,,,,0.0,10.0,,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,0.0,38.0,4.0,,,,,,,,,,,,,,,,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,,0.0,41.0,6.0,,,,,,,,,,,,,,,,,,
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,1.0,161.0,8.0,,,,,,,,,,,,,,,,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,1.0,41.0,3.0,,,,,,,,,,,,,,,,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,0.0,36.0,4.0,,,,,,,,,,,,,0.0,9.0,,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,0.0,84.0,6.0,,,,,,,,,,,,,0.0,0.0,,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,0.0,64.0,4.0,,,,,,,,,,,,,,,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,1.0,117.0,7.0,,,,,,,,,,,,,,,,,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,38.0,3.0,,,,,,,,,,,,,,-2.0,,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,,25.0,4.0,,,,,,,,,,,,,,,,,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,1.0,69.0,6.0,,,,,,,,,,,,,,,,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,,12.0,2.0,,,,,,,,,,,,,,,,,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,20.0,3.0,,,,,,,,,,,,,,,,,,
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,67.0,5.0,,,,,,,,,,,,,,21.0,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,63.0,4.0,,,,,,,,,,,,,,,,,,
10798018,2024-06-08,2024,1,CFL,SSK,EDM,,,,62.0,9.0,,,,,,,,,,,,,,,,,,1.0
10798145,2024-05-25,2024,2,CFL,SSK,EDM,,,0.0,93.0,7.0,,,,,,,,,,,,,,,,,,
10798026,2024-06-22,2024,3,CFL,EDM,TOR,,,1.0,95.0,5.0,,,,,,,,,,,,,,,,,,
10798028,2024-06-27,2024,4,CFL,EDM,BC,,,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W5_EDM,,2024,5,CFL,,,,,1.0,24.0,3.0,,,,,,,,,,,,,,,,,,
10798039,2024-07-14,2024,6,CFL,OTT,EDM,,,1.0,55.0,3.0,,,,,,,,,,,,,,,,,,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,,0.0,17.0,6.0,,,,,,,,,,,,,,,,,,
10798047,2024-07-28,2024,8,CFL,HAM,EDM,,,0.0,43.0,4.0,,,,,,,,,,,,,,,,,,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,,0.0,61.0,5.0,,,,,,,,,,,,,,,,,,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,,0.0,50.0,5.0,,,,,,,,,,,,,,,,,,
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,,0.0,48.0,5.0,,,,,,,,,,,,,,,,,,
10798063,2024-08-25,2024,12,CFL,EDM,MTL,,,0.0,71.0,6.0,,,,,,,,,,,,,,,,,,
10798067,2024-09-02,2024,13,CFL,EDM,CGY,,,0.0,46.0,3.0,,,,,,,,,,,,,,,,,,
10798071,2024-09-07,2024,14,CFL,CGY,EDM,,,0.0,20.0,3.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W15_EDM,,2024,15,CFL,,,,,0.0,35.0,4.0,,,,,,,,,,,,,,,,,,
10798078,2024-09-21,2024,16,CFL,WPG,EDM,,,0.0,27.0,3.0,,,,,,,,,,,,,,,,,,
10798079,2024-09-27,2024,17,CFL,EDM,WPG,,,0.0,66.0,4.0,,,,,,,,,,,,,,,,,,
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,,0.0,122.0,10.0,,,,,,,,,,,,,,,,,,
10798087,2024-10-12,2024,19,CFL,EDM,CGY,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W20_EDM,,2024,20,CFL,,,,,0.0,96.0,6.0,,,,,,,,,,,,,,,,,,
11824048,2025-06-07,2025,1,CFL,EDM,BC,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11824053,2025-06-19,2025,3,CFL,MTL,EDM,,,1.0,95.0,5.0,,,,,,,,,,,,,,,,,,
11824057,2025-06-26,2025,4,CFL,EDM,WPG,,,,6.0,1.0,,,,,,,,,,,,,,,,,,
11824064,2025-07-06,2025,5,CFL,OTT,EDM,,,1.0,24.0,3.0,,,,,,,,,,,,,,,,,,
11824067,2025-07-13,2025,6,CFL,BC,EDM,,,1.0,55.0,3.0,,,,,,,,,,,,,,,,,,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,,,43.0,4.0,,,,,,,,,,,,,,,,,,
11824078,2025-08-02,2025,9,CFL,HAM,EDM,,,,61.0,5.0,,,,,,,,,,,,,,,,,,
11824081,2025-08-08,2025,10,CFL,EDM,MTL,,,,50.0,5.0,,,,,,,,,,,,,,,,,,
11824085,2025-08-15,2025,11,CFL,TOR,EDM,,,,48.0,5.0,,,,,,,,,,,,,,,,,,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,,,,71.0,6.0,,,,,,,,,,,,,,,,,,
11824094,2025-09-01,2025,13,CFL,EDM,CGY,,,,46.0,3.0,,,,,,,,,,,,,,,,,,
11824098,2025-09-06,2025,14,CFL,CGY,EDM,,,,20.0,3.0,,,,,,,,,,,,,,,,,,
11824101,2025-09-13,2025,15,CFL,EDM,TOR,,,,35.0,4.0,,,,,,,,,,,,,,5.0,,,,
11824106,2025-09-20,2025,16,CFL,EDM,HAM,,,1.0,60.0,4.0,,,,,,,,,,,,,,,,,,
11824110,2025-09-27,2025,17,CFL,SSK,EDM,,,,66.0,4.0,,,,,,,,,,,,,,,,,,
11824119,2025-10-17,2025,20,CFL,EDM,BC,,,,96.0,6.0,,,,,,,,,,,,,,,,,,
