game_id,date,season,week,league,away,home,assisted_tackles,assists,blocks,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,drops,forced_fumbles,fumble_recoveries,fumble_recovery_yards,goals,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards,throwaways,yardsReceived,yardsThrown
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,2.0,,,0.0,0.0,1.0,0.0,,,0.0,0.0,,,,0.0,0.0,,7.0,,,,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,2.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,2.0,,,,,
FOOTBALL_NAL_2025_4_26_T463723G979273@T425361,2025-04-27,2025,8,NAL,Beaumont Renegades,Sioux City Bandits,1.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,4.0,,,,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,3.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,9.0,,,,,
FOOTBALL_AF1_2026_4_12_T584761G1168201@T612138,2026-04-13,2026,1,AF1,Beaumont Renegades,Oceanside Bombers,4.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,,,7.0,,,,,
FOOTBALL_IFL_2026_3_16_TVEGASKNIGHTHAWKSG20260316CMKJ@TGREENBAYBLIZZARD,2026-03-16,2026,1,IFL,Vegas Knight Hawks,Green Bay Blizzard,1.0,,,,,,,,,,1.0,0.0,,,,,4.0,5.0,,,,,
FOOTBALL_AF1_2026_4_18_T584635G1168204@T584761,2026-04-18,2026,2,AF1,Albany Firebirds,Beaumont Renegades,0.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,6.0,,,,,
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,4.0,,,,,,,,,,1.0,0.0,,4.0,0.5,,1.0,5.0,2.0,11.0,,,
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,0.0,,,,,,,,,,,,,,,,5.0,5.0,3.0,0.0,,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,1.0,,,,,,,,,,,,,,,,7.0,8.0,3.0,0.0,,,
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,4.0,,,,,,,,,,,,,,,,0.0,4.0,0.5,0.0,,,
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,4.0,,,,,,,,,1.0,,,,,,,0.0,4.0,0.5,0.0,,,
FOOTBALL_IFL_2026_5_8_TQUADCITYSTEAMWHEELERSG202605081QHL@TGREENBAYBLIZZARD,2026-05-08,2026,9,IFL,Quad City Steamwheelers,Green Bay Blizzard,3.0,,,,,,,,,,,,,,,,4.0,7.0,2.0,0.0,,,
