game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pr,score_pts,score_r,score_tot
9889293,2023-06-24,2023,3,CFL,SSK,CGY,0.0,6.0,2.0,,,,,,,,,,,,,,,0.0,133.0,,,,,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,0.0,9.0,2.0,,,,,,,,,,,,,,,0.0,52.0,,,,,,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,1.0,63.0,8.0,,,,,,,,,,,,,,,0.0,37.0,,,,,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,0.0,29.0,4.0,,,,,,,,,,,,,,,0.0,11.0,,,,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,0.0,2.0,3.0,,,,,,,,,,,,,,,0.0,41.0,,,,,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,47.0,,,,,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,0.0,10.0,1.0,,,,,,,,,,,,,,,0.0,81.0,,,,,,
9889325,2023-08-20,2023,11,CFL,BC,SSK,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,59.0,,,,,,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,0.0,76.0,4.0,,,,,,,,,,,,,,,0.0,37.0,,,,,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,0.0,1.0,1.0,,,,,,,,,,,,,,,0.0,36.0,,,,,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,0.0,65.0,2.0,,,,,,,,,,,,,,,0.0,46.0,,,,,,
9889352,2023-10-07,2023,18,CFL,HAM,SSK,0.0,26.0,2.0,,,,,,,,,,,,,,,1.0,120.0,,,,,,
9889355,2023-10-13,2023,19,CFL,SSK,CGY,0.0,32.0,4.0,,,,,,,,,,,,,,,1.0,86.0,,,,,,
9889359,2023-10-21,2023,20,CFL,TOR,SSK,0.0,7.0,2.0,,,,,,,,,,,,,,,0.0,21.0,,,,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,0.0,6.0,1.0,,,,,,,,,,,,,,,0.0,7.0,,,,,,
