game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,pat_made,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,xp_attempts,xp_made
FOOTBALL_IFL_2026_5_24_TARIZONARATTLERSG2026052419QZ@TVEGASKNIGHTHAWKS,2026-05-24,2026,,IFL,Arizona Rattlers,Vegas Knight Hawks,,,,,,1.0,0.0,0.0,,,4.0,46.3,0.0,0.0,324.0,7.0,,,,,,,,,,,,,,,,,,,5.0,4.0
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,1.0,,,,,,,,,,7.0,46.5,0.0,0.0,372.0,8.0,,,,,,,,,,,,,,,,,0.0,1.0,7.0,7.0
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,0.0,,,,,,,,,,6.0,39.4,0.0,0.0,276.0,7.0,,,,,,,,,,,,,,,,,2.0,2.0,6.0,6.0
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,1.0,,,,,2.0,14.0,1.0,,,8.0,46.9,0.0,0.0,375.0,8.0,,,,,,,,,,,,,,,,,0.0,1.0,6.0,5.0
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,0.0,,,,,1.0,18.0,1.0,,,8.0,50.0,0.0,2.0,300.0,6.0,,,,,,,,,,,,,,,,,1.0,1.0,5.0,5.0
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,,,,,,,,,,,8.0,35.0,0.0,0.0,315.0,9.0,,,,,,,,,,,,,,,,,,,8.0,8.0
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,0.0,,,,,2.0,0.0,0.0,,,6.0,39.3,0.0,0.0,236.0,6.0,,,,,,,,,,,,,,,,,2.0,2.0,6.0,6.0
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,1.0,0.0,0.0,,,8.0,50.0,0.0,1.0,400.0,8.0,,,,,,,,,,,,,,,,,,,8.0,8.0
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,0.0,,,,,2.0,21.0,2.0,,,13.0,50.0,0.0,0.0,450.0,9.0,,,,,,,,,,,,,,,,,1.0,1.0,7.0,7.0
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,,,,,,2.0,28.0,1.0,,,10.0,46.4,0.0,1.0,418.0,9.0,,,,,,,,,,,,,,,,,,,7.0,7.0
FOOTBALL_IFL_2026_6_14_TFISHERSFREIGHTG20260614HYJQ@TARIZONARATTLERS,2026-06-14,2026,14,IFL,Fishers Freight,Arizona Rattlers,,,,,,3.0,10.0,1.0,,,6.0,49.7,0.0,0.0,348.0,7.0,,,,,,,,,,,,,,,,,,,5.0,3.0
FOOTBALL_IFL_2026_6_20_TARIZONARATTLERSG20260620GMCA@TTUCSONSUGARSKULLS,2026-06-20,2026,15,IFL,Arizona Rattlers,Tucson Sugar Skulls,,,,,,,,,,,3.0,49.0,0.0,1.0,245.0,5.0,,,,,,,,,,,,,,,,,,,3.0,3.0
FOOTBALL_IFL_2026_6_27_TNEWMEXICOCHUPACABRASG20260627NH6Q@TARIZONARATTLERS,2026-06-27,2026,16,IFL,New Mexico Chupacabras,Arizona Rattlers,,,,,,,,,,,8.0,49.6,0.0,5.0,446.0,9.0,,,,,,,,,,,,,,,,,,,8.0,8.0
FOOTBALL_IFL_2026_7_11_TTUCSONSUGARSKULLSG20260711B8WE@TARIZONARATTLERS,2026-07-11,2026,16,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,3.0,49.0,1.0,,,7.0,50.0,0.0,1.0,350.0,7.0,,,,,,,,,,,,,,,,,,,5.0,4.0
FOOTBALL_IFL_2026_7_6_TARIZONARATTLERSG20260706J8KX@TSANDIEGOSTRIKEFORCE,2026-07-06,2026,17,IFL,Arizona Rattlers,San Diego Strike Force,,,,,,,,,,,9.0,50.0,0.0,5.0,450.0,9.0,,,,,,,,,,,,,,,,,,,9.0,9.0
