game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
SYNTHETIC_CFL_2022_W16_EDM,,2022,16,CFL,,,2.0,,,,,,,,,0.0,231.0,,,,,1.0,7.0,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,1.0,,,,,,,,,1.0,363.0,,,,,0.0,5.0,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,0.0,,,,,,,,,2.0,271.0,,,,,0.0,4.0,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,0.0,,,,,,,,,0.0,166.0,,,,,0.0,4.0,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,3.0,,,,,,,,,0.0,176.0,,,,,0.0,15.0,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,1.0,,,,,,,,,0.0,109.0,,,,,,,,,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,0.0,,,,,,,,,0.0,10.0,,,,,,,,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,0.0,,,,,,,,,0.0,85.0,,,,,,,,,
9889353,2023-10-09,2023,18,CFL,OTT,MTL,0.0,,,,,,,,,0.0,90.0,,,,,,,,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,0.0,,,,,,,,,0.0,35.0,,,,,,,,,
10798042,2024-07-20,2024,7,CFL,TOR,HAM,1.0,,,,,,,,,1.0,118.0,,,,,0.0,-7.0,,,
10798046,2024-07-27,2024,8,CFL,WPG,TOR,0.0,,,,,,,,,0.0,87.0,,,,,0.0,5.0,,,
10798053,2024-08-09,2024,10,CFL,CGY,TOR,1.0,,,,,,,,,1.0,181.0,,,,,0.0,4.0,,,
10798094,2024-10-25,2024,21,CFL,TOR,EDM,1.0,,,,,,,,,2.0,378.0,,,,,0.0,1.0,,,
11824046,2025-06-06,2025,1,CFL,TOR,MTL,2.0,,,,,,,,,1.0,273.0,,,,,0.0,17.0,,,
11824051,2025-06-14,2025,2,CFL,CGY,TOR,2.0,,,,,,,,,1.0,309.0,,,,,0.0,3.0,,,
11824054,2025-06-20,2025,3,CFL,SSK,TOR,1.0,,,,,,,,,2.0,259.0,,,,,0.0,13.0,,,
11824060,2025-06-29,2025,4,CFL,TOR,OTT,1.0,,,,,,,,,1.0,269.0,,,,,0.0,18.0,,,
11824062,2025-07-04,2025,5,CFL,HAM,TOR,1.0,,,,,,,,,2.0,339.0,,,,,0.0,10.0,,,
11824068,2025-07-17,2025,7,CFL,TOR,MTL,1.0,,,,,,,,,2.0,242.0,,,,,0.0,12.0,,,
11824074,2025-07-26,2025,8,CFL,WPG,TOR,0.0,,,,,,,,,2.0,316.0,,,,,0.0,32.0,,,
11824077,2025-08-01,2025,9,CFL,TOR,WPG,1.0,,,,,,,,,2.0,327.0,,,,,,,,,
11824082,2025-08-09,2025,10,CFL,OTT,TOR,1.0,,,,,,,,,3.0,317.0,,,,,1.0,19.0,,,
11824085,2025-08-15,2025,11,CFL,TOR,EDM,0.0,,,,,,,,,1.0,382.0,,,,,0.0,11.0,,,
11824090,2025-08-23,2025,12,CFL,BC,TOR,0.0,,,,,,,,,3.0,430.0,,,,,1.0,8.0,,,
11824093,2025-09-01,2025,13,CFL,TOR,HAM,0.0,,,,,,,,,3.0,352.0,,,,,0.0,7.0,,,
11824101,2025-09-13,2025,15,CFL,EDM,TOR,4.0,,,,,,,,,2.0,261.0,,,,,0.0,10.0,,,
11824108,2025-09-26,2025,17,CFL,TOR,BC,1.0,,,,,,,,,1.0,281.0,,,,,0.0,1.0,,,
11824112,2025-10-04,2025,18,CFL,HAM,TOR,0.0,,,,,,,,,0.0,0.0,,,,,,,,,
