game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,points_against,sacks
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,1.0,39.0,1.0
10798024,2024-06-20,2024,3,CFL,OTT,MTL,,1.0,12.0,2.0
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,1.0,29.0,3.0
10798033,2024-07-05,2024,5,CFL,OTT,WPG,,0.0,39.0,1.0
10798039,2024-07-14,2024,6,CFL,OTT,EDM,,0.0,23.0,0.0
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,1.0,30.0,2.0
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,0.0,6.0,4.0
SYNTHETIC_CFL_2024_W9_OTT,,2024,9,CFL,,,,3.0,11.0,1.0
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,1.0,42.0,0.0
10798056,2024-08-15,2024,11,CFL,OTT,CGY,,2.0,30.0,0.0
10798062,2024-08-24,2024,12,CFL,BC,OTT,,1.0,30.0,2.0
10798064,2024-08-31,2024,13,CFL,OTT,BC,,1.0,38.0,1.0
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,2.0,33.0,1.0
10798073,2024-09-14,2024,15,CFL,OTT,HAM,,0.0,38.0,1.0
10798077,2024-09-21,2024,16,CFL,MTL,OTT,,0.0,0.0,0.0
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,0.0,29.0,3.0
SYNTHETIC_CFL_2024_W18_OTT,,2024,18,CFL,,,,0.0,20.0,3.0
10798089,2024-10-14,2024,19,CFL,OTT,MTL,,0.0,30.0,0.0
10798091,2024-10-19,2024,20,CFL,OTT,TOR,,0.0,39.0,3.0
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,0.0,35.0,0.0
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,1.0,31.0,
11824050,2025-06-13,2025,2,CFL,MTL,OTT,,1.0,39.0,1.0
11824055,2025-06-21,2025,3,CFL,OTT,CGY,,1.0,12.0,2.0
11824060,2025-06-29,2025,4,CFL,TOR,OTT,,1.0,29.0,3.0
11824064,2025-07-06,2025,5,CFL,OTT,EDM,,,39.0,1.0
11824066,2025-07-12,2025,6,CFL,OTT,HAM,,,23.0,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,,1.0,30.0,2.0
11824076,2025-07-31,2025,9,CFL,CGY,OTT,,3.0,11.0,1.0
11824082,2025-08-09,2025,10,CFL,OTT,TOR,,1.0,42.0,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,,2.0,30.0,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,,1.0,30.0,2.0
11824095,2025-09-05,2025,14,CFL,BC,OTT,,2.0,33.0,1.0
11824100,2025-09-12,2025,15,CFL,OTT,BC,,,38.0,1.0
11824105,2025-09-20,2025,16,CFL,WPG,OTT,1.0,,26.0,4.0
11824111,2025-10-03,2025,18,CFL,SSK,OTT,,,20.0,3.0
11824117,2025-10-13,2025,19,CFL,OTT,MTL,,,30.0,
11824120,2025-10-18,2025,20,CFL,MTL,OTT,,,39.0,3.0
11824122,2025-10-24,2025,21,CFL,OTT,HAM,,,35.0,
