game_id,date,season,week,league,away,home,def_solo,def_tot,misc_td,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,,,,,26.0,3.0,3.0,,16.0,45.0,,,,,,,,,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,,,,,,1.0,2.0,,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_22_HAM@TOR,2019-06-22,2019,1,CFL,HAM,TOR,,,,,,,18.0,7.0,8.0,,24.0,71.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,,,,17.0,2.0,4.0,,6.0,29.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,,7.0,2.0,4.0,,2.0,10.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,,,,,,,14.0,6.0,6.0,1.0,9.0,31.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,,,21.0,6.0,7.0,,30.0,68.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,,5.0,1.0,1.0,,,5.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,,,,,8.0,1.0,1.0,,4.0,8.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,,,21.0,2.0,2.0,,15.0,32.0,,,,,,,,,,
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,,,,,,,51.0,1.0,1.0,,18.0,51.0,,,,,,,,,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,,,9.0,1.0,1.0,,,9.0,,,,,,,,,,
SYNTHETIC_CFL_2022_W1_OTT,,2022,1,CFL,,,,,,0.0,51.0,1.0,,,,,,,,,,,,,,,,
6233,2022-07-16,2022,6,CFL,OTT,HAM,,,,0.0,50.0,1.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W15_OTT,,2022,15,CFL,,,,,,0.0,9.0,1.0,,,,,,,,,,,,,,,,
