game_id,date,season,week,league,away,home,1pt_conversion,assist_tackles,completions,conversions,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,lost_fumbles,pass_attempts,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles
SYNTHETIC_USFL_2022_W10_NJ,,2022,10,USFL,,,,,,,,,,,,,,,,0.0,,0.0,,3.0,138.0,,,,,0.0,-3.0,
SYNTHETIC_USFL_2022_W11_NJ,,2022,11,USFL,,,,,,,,,,,,,,,,2.0,,,,0.0,191.0,,,,,,,
1-renegades-vipers,2023-02-18,2023,1,XFL,VIPERS,RENEGADES,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,,,,,,,,,,,2.0,,,,5.0,391.0,,,,,,,
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,,,,,,,,,,,,,,1.0,,,,2.0,283.0,,,,,,4.0,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,,,,,,,,,,,,,,3.0,269.0,,,,,,9.0,
SYNTHETIC_XFL_2023_W5_RENEGADES,2023-03-19,2023,5,XFL,BRAHMAS,RENEGADES,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,,,,,,,,,,2.0,,,,,99.0,,,,,,4.0,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,,,,,,,,,,,,,,,190.0,,,,,,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,,,,,,,,,,,1.0,,,,1.0,335.0,,,,,,15.0,
SYNTHETIC_XFL_2023_W9_RENEGADES,2023-04-16,2023,9,XFL,DEFENDERS,RENEGADES,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,,,,,,,,,,,1.0,,,,,205.0,,,,,,20.0,
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,,,,,,,,,,,,1.0,,1.0,,1.0,214.0,,,,,0.0,6.0,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,,,,,,,,,,,,,0.0,,,,1.0,233.0,0.0,0.0,1.0,,,,
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,,,1.0,,,,,,,,,,0.0,,,,2.0,290.0,,,,,,,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,,,,,,,,,,,,1.0,,1.0,,1.0,144.0,,,,,,,
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,,,,,,,,,,,,0.0,,,,1.0,270.0,,,,,,,
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,,,1.0,,,,,,,,,,0.0,,,,1.0,180.0,,,,,,,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,,3.0,,,,,,,,,,0.0,,,,3.0,296.0,,,,,,,
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,,,,,,,,,,,,0.0,,,,2.0,209.0,,,,,0.0,2.0,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,,,2.0,,,,,,,,,,0.0,,,,3.0,259.0,,,,,0.0,8.0,
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,,,1.0,,,,,,,,,,2.0,,,,3.0,215.0,,,,,,,
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,,,3.0,,,,,,,,,,1.0,,,,0.0,164.0,,,,,0.0,18.0,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,,1.0,,,,,,,,,,0.0,,,,1.0,211.0,,,,,0.0,-1.0,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,,,,,,,,,,,,0.0,,,,0.0,204.0,,,,,,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,,,3.0,,,,,,,,,,1.0,,,,1.0,149.0,,,,,0.0,8.0,
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,,3.0,,,,,,,,,,1.0,,,,1.0,268.0,,,,,0.0,10.0,
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,,,,,,,,,,,,,1.0,,2.0,,0.0,145.0,,,,,0.0,3.0,
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,,,,,,,,,,,,0.0,,,,2.0,314.0,,,,,0.0,2.0,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,350.0,,,,,0.0,9.0,
73,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,,,,,,,,,,,,,0.0,,,,2.0,206.0,,,,,0.0,-3.0,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,,1.0,,,,,,,,,,0.0,,,,0.0,283.0,,,,,1.0,9.0,
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,,,,,,,,,,,,,1.0,,,,1.0,204.0,,,,,1.0,-1.0,
117,2026-05-16,2026,8,UFL,HOUSTON GAMBLERS,ST. LOUIS BATTLEHAWKS,,,,,,,,,,,,,,2.0,,,,1.0,308.0,,,,,0.0,0.0,
