game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_lg,pass_yds,ret_blk,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,,,,,74.0,7.0,7.0,158.0,,442.0,15.0,3.0,3.0,22.0,15.0,6.0,6.0
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,,,,,74.0,4.0,3.0,63.0,,220.0,4.0,1.0,1.0,47.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,,,,,1.0,80.0,2.0,1.0,25.0,,151.0,3.0,1.0,1.0,45.0,3.0,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,1.0,1.0,,,,,,78.0,3.0,3.0,56.0,,210.0,9.0,3.0,2.0,51.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,,,,,,72.0,3.0,3.0,82.0,,191.0,14.0,4.0,4.0,51.0,13.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,,,,,,,,70.0,4.0,4.0,59.0,,231.0,6.0,3.0,1.0,33.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,,,,,73.0,8.0,8.0,189.0,,559.0,11.0,2.0,2.0,39.0,11.0,5.0,5.0
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,1.0,1.0,8.0,8.0,,69.0,5.0,5.0,106.0,,321.0,9.0,2.0,2.0,48.0,9.0,3.0,3.0
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,1.0,,,,,69.0,7.0,7.0,122.0,,454.0,7.0,2.0,2.0,53.0,7.0,1.0,1.0
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,,,,,,66.0,5.0,3.0,67.0,,280.0,12.0,3.0,3.0,45.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,,,,68.0,3.0,3.0,38.0,,142.0,6.0,2.0,2.0,29.0,6.0,1.0,
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,,,,,,,,68.0,4.0,4.0,82.0,,256.0,11.0,3.0,3.0,40.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,,,,,,77.0,6.0,6.0,155.0,1.0,417.0,13.0,4.0,4.0,33.0,13.0,3.0,1.0
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,,,,,,69.0,4.0,4.0,52.0,,217.0,3.0,1.0,1.0,43.0,3.0,1.0,
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,,,,,,,,74.0,4.0,4.0,91.0,,272.0,12.0,3.0,3.0,38.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,,,,,95.0,6.0,5.0,92.0,,420.0,2.0,1.0,,,1.0,1.0,1.0
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,,,,,69.0,4.0,4.0,62.0,,263.0,5.0,3.0,1.0,36.0,4.0,1.0,1.0
FOOTBALL_CFL_2017_8_10_EDM@OTT,2017-08-10,2017,1,CFL,EDM,OTT,,,,,,,,72.0,3.0,3.0,76.0,,208.0,8.0,2.0,2.0,40.0,8.0,2.0,2.0
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,,,,,,68.0,6.0,6.0,148.0,,346.0,19.0,6.0,6.0,52.0,19.0,3.0,1.0
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,,,,,,,,79.0,4.0,4.0,128.0,,284.0,13.0,4.0,4.0,48.0,13.0,2.0,1.0
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,,,,,,,,63.0,5.0,5.0,98.0,,305.0,10.0,4.0,2.0,30.0,7.0,1.0,1.0
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,,,,,,80.0,4.0,3.0,70.0,,276.0,8.0,2.0,2.0,44.0,7.0,1.0,1.0
FOOTBALL_CFL_2017_9_17_OTT@MTL,2017-09-17,2017,1,CFL,OTT,MTL,,,,,,,,64.0,4.0,3.0,61.0,,245.0,11.0,3.0,3.0,31.0,9.0,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,,,,,,,68.0,2.0,1.0,13.0,,84.0,3.0,1.0,,,,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,,,,,,73.0,2.0,2.0,43.0,1.0,132.0,3.0,2.0,1.0,22.0,3.0,,
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,,,,,,74.0,3.0,3.0,55.0,,195.0,8.0,4.0,2.0,43.0,6.0,,
