game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed,pass_att,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2017_8_4_HAM@EDM,2017-08-04,2017,1,CFL,HAM,EDM,,,,,70.0,4.0,4.0,83.0,,272.0,8.0,3.0,2.0,47.0,8.0,2.0,2.0
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,,,,,51.0,1.0,1.0,12.0,,51.0,13.0,4.0,4.0,50.0,13.0,1.0,1.0
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,,,,61.0,4.0,4.0,17.0,,180.0,12.0,5.0,3.0,53.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,,,68.0,6.0,6.0,115.0,1.0,359.0,9.0,2.0,2.0,35.0,9.0,3.0,3.0
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,,72.0,3.0,3.0,47.0,,203.0,6.0,2.0,1.0,57.0,6.0,3.0,3.0
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,,,73.0,3.0,3.0,75.0,,202.0,14.0,4.0,4.0,38.0,14.0,2.0,2.0
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,,,65.0,2.0,2.0,22.0,,122.0,6.0,2.0,2.0,46.0,6.0,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,,,65.0,4.0,4.0,79.0,,196.0,13.0,4.0,4.0,50.0,13.0,1.0,1.0
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,,,69.0,8.0,8.0,103.0,,495.0,13.0,2.0,2.0,21.0,13.0,7.0,7.0
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,,,56.0,4.0,4.0,39.0,,180.0,4.0,1.0,1.0,34.0,4.0,1.0,1.0
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,66.0,4.0,4.0,60.0,,244.0,9.0,3.0,3.0,45.0,9.0,1.0,
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,,,,66.0,4.0,3.0,66.0,,234.0,15.0,5.0,5.0,50.0,15.0,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,71.0,5.0,4.0,88.0,,334.0,6.0,1.0,1.0,21.0,5.0,3.0,2.0
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,,,64.0,2.0,2.0,52.0,,124.0,6.0,2.0,2.0,52.0,6.0,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,69.0,4.0,4.0,154.0,1.0,255.0,13.0,4.0,4.0,50.0,13.0,1.0,1.0
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,65.0,4.0,4.0,152.0,1.0,249.0,4.0,1.0,1.0,35.0,4.0,1.0,1.0
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,67.0,3.0,3.0,64.0,1.0,199.0,6.0,1.0,1.0,14.0,5.0,2.0,2.0
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,,,,,73.0,6.0,5.0,163.0,1.0,392.0,4.0,,,,3.0,4.0,3.0
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,49.0,3.0,3.0,72.0,,133.0,10.0,3.0,3.0,50.0,10.0,1.0,1.0
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,,,60.0,3.0,3.0,23.0,,128.0,4.0,1.0,1.0,45.0,4.0,1.0,1.0
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,,,65.0,5.0,5.0,82.0,,302.0,4.0,,,,4.0,4.0,4.0
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,,,72.0,8.0,8.0,184.0,,500.0,16.0,4.0,4.0,42.0,16.0,4.0,4.0
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,70.0,4.0,5.0,82.0,,260.0,13.0,4.0,4.0,48.0,13.0,1.0,1.0
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,65.0,3.0,3.0,44.0,,174.0,10.0,3.0,3.0,47.0,10.0,1.0,1.0
SYNTHETIC_CFL_2022_W1_EDM,,2022,1,CFL,,,,102.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,,139.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,,70.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,,80.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W6_EDM,2022-07-14,2022,6,CFL,EDM,MTL,,67.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W7_EDM,2022-07-22,2022,7,CFL,WPG,EDM,,123.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W10_EDM,2022-08-13,2022,10,CFL,SSK,EDM,,128.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W11_EDM,2022-08-19,2022,11,CFL,EDM,OTT,,52.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W15_EDM,2022-09-16,2022,15,CFL,EDM,SSK,,126.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W17_EDM,2022-10-01,2022,17,CFL,MTL,EDM,,96.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W18_EDM,2022-10-08,2022,18,CFL,EDM,WPG,,16.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W19_EDM,2022-10-15,2022,19,CFL,TOR,EDM,,134.0,0.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W1_WPG,2023-06-09,2023,1,CFL,HAM,WPG,4.0,119.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W2_WPG,2023-06-16,2023,2,CFL,WPG,SSK,3.0,36.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W3_WPG,2023-06-22,2023,3,CFL,BC,WPG,,58.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W4_WPG,2023-07-01,2023,4,CFL,WPG,MTL,2.0,48.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W5_WPG,2023-07-07,2023,5,CFL,CGY,WPG,2.0,76.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W6_WPG,2023-07-15,2023,6,CFL,WPG,OTT,3.0,100.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W7_WPG,2023-07-20,2023,7,CFL,EDM,WPG,2.0,67.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W9_WPG,2023-08-03,2023,9,CFL,BC,WPG,5.0,76.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W10_WPG,2023-08-10,2023,10,CFL,WPG,EDM,5.0,53.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W11_WPG,2023-08-18,2023,11,CFL,WPG,CGY,1.0,110.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W12_WPG,2023-08-24,2023,12,CFL,MTL,WPG,5.0,57.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W13_WPG,2023-09-03,2023,13,CFL,WPG,SSK,3.0,14.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W14_WPG,2023-09-09,2023,14,CFL,SSK,WPG,6.0,82.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W15_WPG,2023-09-16,2023,15,CFL,WPG,HAM,3.0,22.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W17_WPG,2023-09-29,2023,17,CFL,TOR,WPG,1.0,229.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W18_WPG,2023-10-06,2023,18,CFL,WPG,BC,2.0,120.0,1.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W20_WPG,2023-10-21,2023,20,CFL,EDM,WPG,6.0,24.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W21_WPG,2023-10-27,2023,21,CFL,WPG,CGY,3.0,186.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W1_WPG,2024-05-20,2024,1,CFL,WPG,SSK,,17.0,2.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W2_WPG,2024-06-13,2024,2,CFL,WPG,OTT,2.0,45.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W3_WPG,2024-06-21,2024,3,CFL,BC,WPG,3.0,25.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W4_WPG,2024-06-29,2024,4,CFL,WPG,CGY,1.0,159.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W5_WPG,2024-07-05,2024,5,CFL,OTT,WPG,1.0,214.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W6_WPG,2024-07-12,2024,6,CFL,CGY,WPG,3.0,154.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W7_WPG,2024-07-19,2024,7,CFL,WPG,SSK,,130.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W8_WPG,2024-07-27,2024,8,CFL,WPG,TOR,1.0,55.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W9_WPG,2024-08-01,2024,9,CFL,BC,WPG,1.0,227.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W11_WPG,2024-08-18,2024,11,CFL,WPG,BC,2.0,81.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W12_WPG,2024-08-23,2024,12,CFL,HAM,WPG,2.0,147.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W13_WPG,2024-09-01,2024,13,CFL,WPG,SSK,4.0,108.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W14_WPG,2024-09-07,2024,14,CFL,SSK,WPG,2.0,146.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W16_WPG,2024-09-21,2024,16,CFL,WPG,EDM,3.0,72.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W17_WPG,2024-09-27,2024,17,CFL,EDM,WPG,7.0,72.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W18_WPG,2024-10-04,2024,18,CFL,WPG,HAM,4.0,22.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W19_WPG,2024-10-11,2024,19,CFL,TOR,WPG,1.0,26.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W21_WPG,2024-10-26,2024,21,CFL,WPG,MTL,1.0,191.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W2_WPG,2025-06-12,2025,2,CFL,BC,WPG,3.0,99.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W3_WPG,2025-06-21,2025,3,CFL,WPG,BC,3.0,93.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W4_WPG,2025-06-26,2025,4,CFL,EDM,WPG,3.0,89.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W5_WPG,2025-07-03,2025,5,CFL,WPG,CGY,1.0,69.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W7_WPG,2025-07-18,2025,7,CFL,CGY,WPG,2.0,104.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W8_WPG,2025-07-26,2025,8,CFL,WPG,TOR,2.0,39.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W9_WPG,2025-08-01,2025,9,CFL,TOR,WPG,4.0,160.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W10_WPG,2025-08-09,2025,10,CFL,WPG,CGY,2.0,202.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W11_WPG,2025-08-14,2025,11,CFL,OTT,WPG,3.0,139.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W12_WPG,2025-08-21,2025,12,CFL,WPG,MTL,2.0,109.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W13_WPG,2025-08-31,2025,13,CFL,WPG,SSK,3.0,10.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W14_WPG,2025-09-06,2025,14,CFL,SSK,WPG,1.0,73.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W15_WPG,2025-09-12,2025,15,CFL,WPG,HAM,1.0,71.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W17_WPG,2025-09-27,2025,17,CFL,HAM,WPG,4.0,62.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W19_WPG,2025-10-11,2025,19,CFL,WPG,EDM,2.0,62.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W20_WPG,2025-10-17,2025,20,CFL,SSK,WPG,1.0,57.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W21_WPG,2025-10-25,2025,21,CFL,MTL,WPG,1.0,116.0,,,,,,,,,,,,,,,
