game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,,,,,,,,,,,2.0,3.0,1.0,4.0,1.0,,8.0,1.0,1.0
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,,,,,,,,,,,,,2.0,9.0,,14.0,,,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,,,,,,,,,,,,3.0,,1.0,3.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_6_30_MTL@EDM,2017-06-30,2017,1,CFL,MTL,EDM,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_7_14_CGY@MTL,2017-07-14,2017,1,CFL,CGY,MTL,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,1.0,1.0,,8.0,,,,8.0,,,,,,4.0,6.0,1.0,11.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,1.0,1.0,28.0,15.0,1.0,45.0,46.0,6.0,,217.0,,,,,,8.0,28.0,1.0,72.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,5.0,1.0,,3.0,8.0,1.0,,3.0,,,,,,4.0,13.0,1.0,26.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,32.0,19.0,4.0,,30.0,2.0,2.0,266.0,,,,,,2.0,4.0,,6.0,,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,23.0,16.0,,,,,3.0,249.0,,,,,,7.0,28.0,,44.0,,,,,
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,14.0,11.0,1.0,32.0,1.0,1.0,2.0,142.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,29.0,18.0,,41.0,5.0,1.0,,206.0,,,,,,3.0,6.0,1.0,8.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,1.0,1.0,27.0,14.0,3.0,50.0,15.0,2.0,,226.0,,,,,,6.0,13.0,1.0,57.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,16.0,13.0,,27.0,7.0,1.0,2.0,126.0,,,,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,,,10.0,7.0,1.0,31.0,,,1.0,134.0,,,,,,3.0,7.0,,13.0,,,,,
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,,,24.0,14.0,1.0,,34.0,5.0,1.0,173.0,,,,,,10.0,10.0,,41.0,,,,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,30.0,23.0,,,7.0,1.0,2.0,327.0,,,,,,7.0,,2.0,41.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,22.0,15.0,,43.0,9.0,3.0,1.0,191.0,1.0,1.0,1.0,12.0,21.0,7.0,18.0,,44.0,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_7_4_HAM@MTL,2019-07-04,2019,1,CFL,HAM,MTL,,,25.0,14.0,,46.0,7.0,1.0,,202.0,,,,,,7.0,27.0,1.0,59.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,50.0,32.0,2.0,58.0,,,2.0,389.0,,,,,,9.0,12.0,2.0,38.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,,,25.0,19.0,1.0,,27.0,4.0,2.0,335.0,,,,,,3.0,3.0,1.0,4.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,25.0,13.0,1.0,20.0,,,,120.0,,,,,,6.0,,2.0,25.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,,36.0,22.0,,42.0,13.0,2.0,1.0,344.0,,,,,,5.0,8.0,,14.0,,,,,
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,,43.0,27.0,1.0,60.0,34.0,4.0,4.0,488.0,,,,,,6.0,12.0,1.0,38.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,25.0,18.0,1.0,36.0,6.0,1.0,1.0,232.0,,,,,,6.0,5.0,2.0,14.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,21.0,12.0,1.0,32.0,34.0,6.0,1.0,157.0,,,,,,6.0,20.0,,41.0,,,,,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,26.0,17.0,2.0,,18.0,2.0,2.0,209.0,,,,,,6.0,7.0,,18.0,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,21.0,13.0,,53.0,8.0,1.0,2.0,211.0,,,,,,7.0,13.0,,29.0,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,42.0,20.0,1.0,32.0,,,2.0,261.0,,,,,,8.0,26.0,,65.0,,,,,
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,,,31.0,16.0,1.0,27.0,9.0,1.0,1.0,171.0,,,,,,5.0,10.0,,28.0,,,,,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,36.0,16.0,2.0,40.0,-3.0,1.0,,270.0,,,,,,7.0,24.0,,44.0,,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,,,39.0,30.0,2.0,49.0,9.0,2.0,2.0,382.0,,,,,,5.0,25.0,,38.0,,,,,
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,,,23.0,18.0,,44.0,1.0,1.0,4.0,288.0,,,,,,7.0,10.0,,35.0,,,,,
