game_id,date,season,week,league,away,home,1pt_conversion,assisted_tackles,conversions,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,lost_fumbles,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safeties,tackles
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,,,,,,,,,,,,,,,0.0,25.0,2.0,,,,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,,,,,,,,,,,,,,,,15.3,19.0,1.0,46.0,3.0,,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,1.0,,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,4.0
FOOTBALL_IFL_2026_4_12_TJACKSONVILLESHARKSG20260412GKF3@TVEGASKNIGHTHAWKS,2026-04-12,2026,5,IFL,Jacksonville Sharks,Vegas Knight Hawks,,,,,,,,,,3.0,13.0,23.0,0.0,39.0,,19.0,39.0,1.0,76.0,4.0,,,,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,17.0,0.0,41.0,,,,,,,,,0.0,0.0,3.0
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,,,,,,,,,,1.0,29.0,29.0,0.0,29.0,,12.0,15.0,1.0,24.0,2.0,,,,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,,,,,,,,,,2.0,16.0,22.0,0.0,32.0,,14.7,19.0,1.0,44.0,3.0,,,,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,14.0,0.0,26.0,,,,,,,,,0.0,0.0,12.0
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,,,,,,,,,,4.0,7.3,15.0,0.0,29.0,,16.5,19.0,1.0,33.0,2.0,,,,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,,,,,,,,,,1.0,10.0,10.0,0.0,10.0,,11.5,15.0,1.0,23.0,2.0,,,,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,,,,,,,,,,,,,,,,26.0,26.0,0.0,26.0,1.0,,,,,
