game_id,date,season,week,league,away,home,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2023_W10_EDM,,2023,10,CFL,,,,38.0,2.0
SYNTHETIC_CFL_2023_W11_EDM,,2023,11,CFL,,,,10.0,7.0
SYNTHETIC_CFL_2023_W12_EDM,,2023,12,CFL,,,,20.0,1.0
SYNTHETIC_CFL_2023_W13_EDM,,2023,13,CFL,,,,35.0,3.0
SYNTHETIC_CFL_2023_W14_EDM,,2023,14,CFL,,,,23.0,0.0
SYNTHETIC_CFL_2023_W15_EDM,,2023,15,CFL,,,,27.0,2.0
SYNTHETIC_CFL_2023_W16_EDM,,2023,16,CFL,,,,37.0,2.0
SYNTHETIC_CFL_2023_W18_EDM,,2023,18,CFL,,,,35.0,2.0
SYNTHETIC_CFL_2023_W19_EDM,,2023,19,CFL,,,,35.0,3.0
SYNTHETIC_CFL_2023_W20_EDM,,2023,20,CFL,,,,45.0,0.0
SYNTHETIC_CFL_2024_W1_EDM,,2024,1,CFL,,,0.0,31.0,0.0
SYNTHETIC_CFL_2024_W2_EDM,,2024,2,CFL,,,0.0,23.0,3.0
SYNTHETIC_CFL_2024_W3_EDM,,2024,3,CFL,,,0.0,38.0,1.0
SYNTHETIC_CFL_2024_W4_EDM,,2024,4,CFL,,,0.0,36.0,1.0
SYNTHETIC_CFL_2024_W5_EDM,,2024,5,CFL,,,0.0,33.0,0.0
SYNTHETIC_CFL_2024_W6_EDM,,2024,6,CFL,,,1.0,32.0,1.0
SYNTHETIC_CFL_2024_W7_EDM,,2024,7,CFL,,,2.0,20.0,4.0
SYNTHETIC_CFL_2024_W8_EDM,,2024,8,CFL,,,0.0,21.0,1.0
SYNTHETIC_CFL_2024_W9_EDM,,2024,9,CFL,,,0.0,28.0,1.0
SYNTHETIC_CFL_2024_W10_EDM,,2024,10,CFL,,,1.0,22.0,0.0
SYNTHETIC_CFL_2024_W11_EDM,,2024,11,CFL,,,0.0,20.0,2.0
SYNTHETIC_CFL_2024_W12_EDM,,2024,12,CFL,,,0.0,20.0,3.0
SYNTHETIC_CFL_2024_W13_EDM,,2024,13,CFL,,,0.0,28.0,0.0
SYNTHETIC_CFL_2024_W14_EDM,,2024,14,CFL,,,1.0,19.0,4.0
SYNTHETIC_CFL_2024_W15_EDM,,2024,15,CFL,,,4.0,31.0,3.0
SYNTHETIC_CFL_2024_W16_EDM,,2024,16,CFL,,,1.0,27.0,1.0
SYNTHETIC_CFL_2024_W17_EDM,,2024,17,CFL,,,2.0,25.0,2.0
SYNTHETIC_CFL_2024_W18_EDM,,2024,18,CFL,,,2.0,28.0,3.0
SYNTHETIC_CFL_2024_W19_EDM,,2024,19,CFL,,,2.0,20.0,1.0
SYNTHETIC_CFL_2024_W20_EDM,,2024,20,CFL,,,1.0,37.0,0.0
SYNTHETIC_CFL_2024_W21_EDM,,2024,21,CFL,,,0.0,20.0,3.0
SYNTHETIC_CFL_2025_W1_EDM,,2025,1,CFL,,,,31.0,
SYNTHETIC_CFL_2025_W3_EDM,,2025,3,CFL,,,,38.0,1.0
SYNTHETIC_CFL_2025_W4_EDM,,2025,4,CFL,,,,36.0,1.0
SYNTHETIC_CFL_2025_W5_EDM,,2025,5,CFL,,,,33.0,
SYNTHETIC_CFL_2025_W6_EDM,,2025,6,CFL,,,1.0,32.0,1.0
SYNTHETIC_CFL_2025_W8_EDM,,2025,8,CFL,,,,21.0,1.0
SYNTHETIC_CFL_2025_W9_EDM,,2025,9,CFL,,,,28.0,1.0
SYNTHETIC_CFL_2025_W10_EDM,,2025,10,CFL,,,1.0,22.0,
SYNTHETIC_CFL_2025_W11_EDM,,2025,11,CFL,,,,20.0,2.0
SYNTHETIC_CFL_2025_W12_EDM,,2025,12,CFL,,,,20.0,3.0
SYNTHETIC_CFL_2025_W13_EDM,,2025,13,CFL,,,,28.0,
SYNTHETIC_CFL_2025_W14_EDM,,2025,14,CFL,,,1.0,19.0,4.0
SYNTHETIC_CFL_2025_W15_EDM,,2025,15,CFL,,,4.0,31.0,3.0
SYNTHETIC_CFL_2025_W16_EDM,,2025,16,CFL,,,1.0,29.0,1.0
SYNTHETIC_CFL_2025_W17_EDM,,2025,17,CFL,,,2.0,25.0,2.0
SYNTHETIC_CFL_2025_W19_EDM,,2025,19,CFL,,,2.0,20.0,1.0
SYNTHETIC_CFL_2025_W20_EDM,,2025,20,CFL,,,1.0,37.0,
SYNTHETIC_CFL_2025_W21_EDM,,2025,21,CFL,,,,20.0,3.0
