game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,pass_defended,pass_td,pat_made,rush_avg,rush_long,rush_td,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,3.0,,,,,1.0,,,,,,,,,,,,,,,,,10.0,13.0,,
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,3.0,,
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,1.0,,,,,,,,,,,2.0,,,4.0,4.0,,1.0,0.0,4.0,,,4.0,5.0,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,3.0,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,0.0,3.0,0.5,0.0
FOOTBALL_IFL_2026_5_29_TSANANTONIOGUNSLINGERSG20260529P6HJ@TGREENBAYBLIZZARD,2026-05-29,2026,12,IFL,San Antonio Gunslingers,Green Bay Blizzard,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,
FOOTBALL_IFL_2026_6_6_TSANANTONIOGUNSLINGERSG20260606MDZ0@TJACKSONVILLESHARKS,2026-06-06,2026,13,IFL,San Antonio Gunslingers,Jacksonville Sharks,0.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,6.0,6.0,,
FOOTBALL_IFL_2026_6_13_TNEWMEXICOCHUPACABRASG20260613T2YA@TSANANTONIOGUNSLINGERS,2026-06-13,2026,14,IFL,New Mexico Chupacabras,San Antonio Gunslingers,1.0,,,,,,,,,,,2.0,,,,,,,,,,,4.0,5.0,,
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,
FOOTBALL_IFL_2026_7_11_TORLANDOPIRATESG20260711VSBZ@TSANANTONIOGUNSLINGERS,2026-07-11,2026,18,IFL,Orlando Pirates,San Antonio Gunslingers,7.0,1.0,,,0.0,,,,9.0,9.0,9.0,,,,,,,,,,,,6.0,13.0,0.5,0.0
FOOTBALL_IFL_2026_7_24_TSANANTONIOGUNSLINGERSG20260724MW4T@TIOWABARNSTORMERS,2026-07-24,2026,20,IFL,San Antonio Gunslingers,Iowa Barnstormers,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,
