game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,1.0,1.0,,,,42.0,2.0,2.0,,13.0,61.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,,,,43.0,3.0,6.0,,9.0,58.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,,,,,4.0,5.0,1.0,35.0,91.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,1.0,1.0,,,,33.0,4.0,8.0,1.0,2.0,72.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,,,,,,27.0,7.0,13.0,1.0,22.0,76.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,,,,20.0,1.0,1.0,,1.0,20.0,,,,,,,,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,,,41.0,5.0,8.0,1.0,8.0,104.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,,,,,10.0,13.0,2.0,23.0,90.0,,,,,,,1.0,2.0,14.0,2.0
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,,,,15.0,2.0,6.0,,6.0,21.0,,,,,,,,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,,,,13.0,5.0,7.0,1.0,2.0,33.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,,,,20.0,2.0,8.0,,7.0,29.0,,,,,,,,,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,1.0,1.0,,,,42.0,3.0,8.0,1.0,7.0,72.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,,,,38.0,8.0,10.0,3.0,23.0,145.0,,,,,,,,3.0,18.0,3.0
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,,,,24.0,7.0,10.0,1.0,25.0,91.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,56.0,5.0,12.0,,56.0,153.0,,,,,,,,,,
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,,,,,33.0,1.0,4.0,,,33.0,,,,,,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,18.0,10.0,13.0,,41.0,94.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,,,,39.0,4.0,5.0,,14.0,69.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,39.0,8.0,11.0,,48.0,106.0,,,,,,,,,,
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,18.0,5.0,8.0,,12.0,49.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,,,,,,,7.0,8.0,2.0,18.0,149.0,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,25.0,4.0,5.0,,7.0,46.0,,,,,,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,1.0,1.0,,,,11.0,3.0,5.0,1.0,11.0,20.0,,,,1.0,3.0,3.0,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,,,,22.0,9.0,11.0,,26.0,95.0,,,,,,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,,,,55.0,9.0,12.0,1.0,29.0,135.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,,7.0,8.0,1.0,11.0,77.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,,8.0,8.0,1.0,57.0,129.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,,,43.0,7.0,9.0,,41.0,93.0,,,,,,,,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,,,,,44.0,7.0,10.0,,6.0,82.0,,,,,,,,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,,,,,10.0,4.0,8.0,,1.0,30.0,,,,,,,,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,,,,,5.0,5.0,1.0,18.0,96.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,19.0,2.0,4.0,,3.0,34.0,,,,,,,,,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,,31.0,4.0,7.0,1.0,1.0,69.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_11_5_BC@HAM,2021-11-05,2021,1,CFL,BC,HAM,,,,,,21.0,7.0,10.0,,8.0,77.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,61.0,4.0,5.0,,26.0,121.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,23.0,2.0,3.0,,5.0,32.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,,,,,,38.0,6.0,7.0,,26.0,84.0,,,,,,,,,,
FOOTBALL_CFL_2021_8_6_BC@SSK,2021-08-06,2021,1,CFL,BC,SSK,,,,,,21.0,7.0,7.0,1.0,12.0,92.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_9_11_OTT@BC,2021-09-11,2021,1,CFL,OTT,BC,,,,,,,5.0,6.0,2.0,18.0,72.0,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,,,,15.0,3.0,4.0,,14.0,32.0,,,,,,,,,,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,,,,,,28.0,3.0,7.0,,10.0,41.0,,,,,,,,,,
SYNTHETIC_CFL_2022_W1_BC,,2022,1,CFL,,,,,0.0,32.0,4.0,,,,,,,,,,,,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,,,1.0,82.0,6.0,,,,,,,,,,,,,,,,
6248,2022-08-13,2022,10,CFL,BC,CGY,,,1.0,165.0,8.0,,,,,,,,,,,,,,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,,1.0,67.0,5.0,,,,,,,,,,,,,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,0.0,40.0,4.0,,,,,,,,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,,0.0,100.0,7.0,,,,,,,,,,,,,,,,
6271,2022-09-24,2022,16,CFL,CGY,BC,,,0.0,58.0,4.0,,,,,,,,,,,,,,,,
