game_id,date,season,week,league,away,home,assist_tackles,def_solo,def_tot,int_long,int_yards,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,solo_tackles,tackles
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,,,,,,,,,,15.0,2.0,2.0,,20.0,29.0,,,,8.0,21.0,,41.0,1.0,,2.0,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,,,,,,,,,,1.0,,,,,,,16.0,,3.0,159.0,1.0,,20.0,3.0,3.0,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,,,,,,,,,,,,,1.0,,,,,,,11.0,15.0,,67.0,,,,,,,
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,,,,,,,,,,13.0,6.0,7.0,,31.0,44.0,,,,9.0,13.0,,32.0,,,,,,,
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,,,,,,,,,,15.0,6.0,7.0,,46.0,60.0,,,,6.0,13.0,,35.0,,,,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,,,,,,,,,15.0,3.0,3.0,,28.0,28.0,21.0,1.0,30.0,5.0,10.0,1.0,27.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,1.0,1.0,,,,,,,,,12.0,4.0,4.0,,34.0,34.0,23.0,3.0,55.0,14.0,16.0,1.0,92.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,,,,,,,,,13.0,2.0,4.0,,16.0,16.0,,,,9.0,21.0,1.0,70.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,,,,,,,,,,,,16.0,2.0,2.0,,10.0,32.0,26.0,1.0,26.0,9.0,21.0,1.0,69.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,1.0,1.0,,,,,,,,,4.0,2.0,2.0,,6.0,6.0,,,,9.0,17.0,1.0,48.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,,1.0,1.0,,,,,,,,,13.0,5.0,5.0,1.0,34.0,44.0,,,,5.0,19.0,,30.0,,1.0,6.0,,1.0,,
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,,,,,,,,,,27.0,5.0,6.0,1.0,32.0,68.0,26.0,1.0,26.0,12.0,11.0,1.0,34.0,,1.0,12.0,1.0,2.0,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,,,,,,,,,12.0,1.0,5.0,,9.0,12.0,,,,5.0,50.0,,59.0,,,,,,,
FOOTBALL_CFL_2017_8_18_CGY@BC,2017-08-18,2017,1,CFL,CGY,BC,,,,,,,,,,,,12.0,1.0,3.0,,9.0,12.0,,,,5.0,5.0,,11.0,,,,,,,
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,,,,,,,,,,,,16.0,4.0,5.0,1.0,32.0,39.0,,,,7.0,18.0,1.0,31.0,,1.0,12.0,1.0,2.0,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,1.0,1.0,,,,,,,,,38.0,2.0,4.0,,14.0,38.0,20.0,1.0,20.0,10.0,19.0,,74.0,,,,,,,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,,,,,,,,,,,,23.0,2.0,2.0,,22.0,22.0,,,,9.0,21.0,,52.0,,,,,,,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,1.0,1.0,,,,,,,,,58.0,3.0,4.0,,83.0,87.0,,,,14.0,19.0,,91.0,,,,,,,
FOOTBALL_CFL_2017_9_8_MTL@BC,2017-09-08,2017,1,CFL,MTL,BC,,,,,,,1.0,1.0,,11.0,11.0,,,,,,,,,,19.0,11.0,2.0,91.0,,,12.0,2.0,2.0,,
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,,,,,,,,,,,,1.0,,,,31.0,2.0,54.0,,,,,,,,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,,,,,,,,,,10.0,3.0,4.0,,13.0,22.0,,,,19.0,18.0,,118.0,,,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,1.0,1.0,,,,,,,,,,,,,,,30.0,6.0,151.0,1.0,17.0,,17.0,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,,,,,,,,,,5.0,2.0,2.0,,4.0,4.0,,,,10.0,18.0,,52.0,,,,,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,,,,,,,,,,9.0,2.0,2.0,,12.0,14.0,28.0,2.0,25.0,11.0,17.0,1.0,64.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,,,,,,,,,9.0,2.0,2.0,,13.0,13.0,,,,3.0,17.0,,26.0,,,,,,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,,,,,,,,,,9.0,2.0,2.0,,11.0,13.0,34.0,1.0,34.0,13.0,25.0,1.0,80.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,1.0,1.0,,,,,,,,,21.0,5.0,5.0,,35.0,57.0,19.0,1.0,19.0,11.0,15.0,1.0,60.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,,,,,,,,,,19.0,6.0,6.0,,53.0,58.0,,,,9.0,8.0,,33.0,,,,,,,
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,,,,,,,,,,,,13.0,6.0,6.0,,40.0,46.0,,,,11.0,8.0,1.0,50.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,,,,,,,,,12.0,1.0,1.0,,9.0,12.0,,,,12.0,12.0,,50.0,,,,,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,,,,,,,,,,9.0,5.0,5.0,,12.0,19.0,,,,7.0,7.0,,25.0,,,,,,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,,,,,,,,,,18.0,6.0,6.0,,25.0,50.0,,,,3.0,3.0,,6.0,,,,,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,,,,,,,,,,,,,,,,,,,11.0,33.0,1.0,69.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,,,,,,,,,15.0,4.0,4.0,,36.0,36.0,,,,13.0,14.0,,72.0,,,,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,,,,,,,,3.0,3.0,1.0,42.0,42.0,,,,9.0,12.0,,43.0,,1.0,6.0,,1.0,,
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,,,,,,,,,,,,4.0,,,,,,,16.0,24.0,,105.0,,,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,,,,,,15.0,1.0,2.0,,15.0,15.0,,,,3.0,12.0,,23.0,,,,,,,
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,,,,,,,,,,,,24.0,1.0,2.0,,24.0,24.0,,,,1.0,3.0,,3.0,,,,,,,
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,,,,,,,,,43.0,1.0,2.0,,43.0,43.0,,,,6.0,18.0,,39.0,,,,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,,,,,,,,,12.0,4.0,4.0,,16.0,22.0,,,,13.0,47.0,,107.0,,,,,,,
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,,,,,,,,,,,,9.0,1.0,2.0,,9.0,9.0,,,,12.0,,1.0,54.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,,,,,,,,,,,1.0,,,,,,,2.0,5.0,,10.0,,,,,,,
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,,,,,,,,,,22.0,2.0,2.0,,24.0,24.0,,,,10.0,8.0,,38.0,,,,,,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,,,,,,,,,1.0,,,,24.0,4.0,82.0,3.0,17.0,,26.0,,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,2.0,11.0,,15.0,,,,,,,
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,1.0,,,64.0,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
