game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_lg,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,ret_blk,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,tackles
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,,,,,,,,,,,,66.0,6.0,6.0,93.0,,364.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,,,,,,,,,,69.0,6.0,6.0,146.0,,379.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,,,,,,,,,,,,70.0,1.0,1.0,23.0,,70.0,,,,,,,2.0,,,,,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,,,,,,,,,,72.0,6.0,6.0,203.0,1.0,361.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,,,,,,,,,,,,65.0,8.0,8.0,107.0,,481.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,,,,,,,,,,,68.0,2.0,2.0,40.0,,127.0,,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2019_10_11_OTT@TOR,2019-10-11,2019,1,CFL,OTT,TOR,,,,,,,,,,,,,68.0,3.0,2.0,38.0,,144.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,,,,,,,,,,,57.0,1.0,1.0,20.0,,57.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,,,,,,,,,,,67.0,2.0,2.0,38.0,,129.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,,,,,,,,,,61.0,3.0,3.0,58.0,,174.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,,,,,,,,,,,72.0,4.0,4.0,90.0,,265.0,,,,,,,2.0,,,,,,,
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,,,,,,,,,,,69.0,5.0,4.0,97.0,,319.0,,,,,,,2.0,,,,,,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,,,,,,,,,,,58.0,3.0,3.0,52.0,,170.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,,,,,,,,,,,,,70.0,1.0,1.0,26.0,,70.0,,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,,,,,,,,70.0,5.0,5.0,116.0,,320.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_5_WPG@OTT,2019-07-05,2019,1,CFL,WPG,OTT,,,,,,,,,,,,,66.0,2.0,2.0,34.0,,124.0,,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2019_8_17_HAM@OTT,2019-08-17,2019,1,CFL,HAM,OTT,,,,,,,,,,,,,59.0,1.0,1.0,28.0,,59.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,,,,,,,,,,,,,70.0,2.0,2.0,53.0,,137.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,,,,,,,,,,63.0,5.0,5.0,79.0,,301.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,,,,,,,,,,,,,65.0,4.0,4.0,88.0,,249.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,,,,,,,,,,,65.0,1.0,1.0,22.0,,65.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,,,,,,,,,,,64.0,2.0,2.0,50.0,,125.0,,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2019_9_28_EDM@OTT,2019-09-28,2019,1,CFL,EDM,OTT,,,,,,,,,,,,,66.0,4.0,4.0,112.0,,252.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,,,,,,,,,,,,,66.0,2.0,2.0,69.0,,131.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W1_OTT,2023-06-10,2023,1,CFL,OTT,MTL,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
SYNTHETIC_CFL_2023_W7_OTT,2023-07-23,2023,7,CFL,OTT,CGY,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,,,,,,,,,
SYNTHETIC_CFL_2023_W9_OTT,2023-08-06,2023,9,CFL,OTT,SSK,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
SYNTHETIC_CFL_2023_W16_OTT,2023-09-22,2023,16,CFL,SSK,OTT,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
SYNTHETIC_CFL_2023_W21_OTT,2023-10-28,2023,21,CFL,TOR,OTT,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
SYNTHETIC_CFL_2024_W13_OTT,2024-08-31,2024,13,CFL,OTT,BC,0.0,,,,,,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
