game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W11_BRAHMAS,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,,1.0,,2.0,197.0,0.0,2.0
SYNTHETIC_UFL_2024_W12_BRAHMAS,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,,0.0,,0.0,173.0,0.0,7.0
SYNTHETIC_UFL_2025_W1_BRAHMAS,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,,,0.0,,0.0,159.0,0.0,19.0
SYNTHETIC_UFL_2025_W2_BRAHMAS,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,1.0,,0.0,129.0,0.0,19.0
SYNTHETIC_UFL_2025_W3_BRAHMAS,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,,0.0,,1.0,152.0,0.0,39.0
SYNTHETIC_UFL_2025_W4_BRAHMAS,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,0.0,,1.0,121.0,0.0,6.0
SYNTHETIC_UFL_2025_W5_BRAHMAS,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,,,2.0,,0.0,64.0,0.0,24.0
SYNTHETIC_UFL_2025_W6_BRAHMAS,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,,1.0,,0.0,179.0,0.0,8.0
SYNTHETIC_UFL_2025_W7_BRAHMAS,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,,0.0,1.0,2.0,230.0,0.0,32.0
SYNTHETIC_UFL_2025_W8_BRAHMAS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,,2.0,3.0,,0.0,90.0,0.0,12.0
SYNTHETIC_UFL_2025_W9_BRAHMAS,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,,0.0,,0.0,103.0,0.0,20.0
SYNTHETIC_UFL_2025_W10_BRAHMAS,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,,0.0,,0.0,150.0,0.0,14.0
