game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,1.0,,,,,,,,,,3.0,283.0,,,,,0.0,9.0,,,
SYNTHETIC_USFL_2023_W4_BREAKERS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,1.0,,,,,,,,,,0.0,279.0,,,,,0.0,10.0,,,
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,1.0,2.0,,,,,,,,,1.0,206.0,,,,,,,,,
SYNTHETIC_USFL_2023_W6_BREAKERS,2023-05-21,2023,6,USFL,STARS,BREAKERS,,2.0,,,,,,,,,,1.0,190.0,,,,,,,,,
SYNTHETIC_USFL_2023_W7_BREAKERS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,1.0,1.0,,,,,,,,,,1.0,279.0,,,,,,,,,
SYNTHETIC_USFL_2023_W8_BREAKERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,,2.0,,,,,,,,,,2.0,328.0,,,,,,,,,
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,0.0,,,,,,,,,,1.0,88.0,,,,,0.0,4.0,,,
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,0.0,,,,,,,,,,2.0,227.0,,,,,0.0,-1.0,,,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,2.0,,,,,,,,,,2.0,273.0,,,,,,,,,
SYNTHETIC_CFL_2024_W1_EDM,2024-06-08,2024,1,CFL,SSK,EDM,,1.0,,,,,,,,,,2.0,336.0,,,,,0.0,6.0,,,
SYNTHETIC_CFL_2024_W2_EDM,2024-05-25,2024,2,CFL,SSK,EDM,,2.0,,,,,,,,,,0.0,300.0,,,,,0.0,8.0,,,
SYNTHETIC_CFL_2024_W3_EDM,2024-06-22,2024,3,CFL,EDM,TOR,,0.0,,,,,,,,,,4.0,342.0,,,,,,,,,
SYNTHETIC_CFL_2024_W4_EDM,2024-06-27,2024,4,CFL,EDM,BC,,2.0,,,,,,,,,,1.0,247.0,,,,,0.0,29.0,,,
SYNTHETIC_CFL_2024_W6_EDM,2024-07-14,2024,6,CFL,OTT,EDM,,0.0,,,,,,,,,,2.0,272.0,,,,,0.0,9.0,,,
SYNTHETIC_CFL_2024_W7_EDM,2024-07-19,2024,7,CFL,EDM,OTT,,1.0,,,,,,,,,,0.0,206.0,,,,,,,,,
SYNTHETIC_CFL_2024_W8_EDM,2024-07-28,2024,8,CFL,HAM,EDM,,1.0,,,,,,,,,,0.0,85.0,,,,,0.0,3.0,,,
SYNTHETIC_CFL_2024_W10_EDM,2024-08-11,2024,10,CFL,BC,EDM,,1.0,,,,,,,,,,1.0,171.0,,,,,,,,,
SYNTHETIC_CFL_2024_W11_EDM,2024-08-17,2024,11,CFL,EDM,HAM,,0.0,,,,,,,,,,2.0,234.0,,,,,,,,,
SYNTHETIC_CFL_2024_W12_EDM,2024-08-25,2024,12,CFL,EDM,MTL,,0.0,,,,,,,,,,2.0,200.0,,,,,0.0,12.0,,,
SYNTHETIC_CFL_2024_W13_EDM,2024-09-02,2024,13,CFL,EDM,CGY,,0.0,,,,,,,,,,3.0,486.0,,,,,,,,,
SYNTHETIC_CFL_2024_W14_EDM,2024-09-07,2024,14,CFL,CGY,EDM,,1.0,,,,,,,,,,2.0,219.0,,,,,0.0,16.0,,,
SYNTHETIC_CFL_2024_W16_EDM,2024-09-21,2024,16,CFL,WPG,EDM,,0.0,,,,,,,,,,0.0,48.0,,,,,,,,,
SYNTHETIC_CFL_2024_W17_EDM,2024-09-27,2024,17,CFL,EDM,WPG,,0.0,,,,,,,,,,3.0,223.0,,,,,0.0,0.0,,,
SYNTHETIC_CFL_2024_W18_EDM,2024-10-05,2024,18,CFL,SSK,EDM,,2.0,,,,,,,,,,2.0,379.0,,,,,,,,,
SYNTHETIC_CFL_2025_W3_MTL,2025-06-19,2025,3,CFL,MTL,EDM,,0.0,,,,,,,,,,0.0,77.0,,,,,0.0,8.0,,,
SYNTHETIC_CFL_2025_W4_MTL,2025-06-27,2025,4,CFL,MTL,HAM,,2.0,,,,,,,,,,1.0,203.0,,,,,0.0,19.0,,,
SYNTHETIC_CFL_2025_W5_MTL,2025-07-05,2025,5,CFL,BC,MTL,,0.0,,,,,,,,,,2.0,192.0,,,,,0.0,9.0,,,
SYNTHETIC_CFL_2025_W8_MTL,2025-07-24,2025,8,CFL,MTL,CGY,,1.0,,,,,,,,,,1.0,280.0,,,,,0.0,3.0,,,
SYNTHETIC_CFL_2025_W9_MTL,2025-08-02,2025,9,CFL,SSK,MTL,,1.0,,,,,,,,,,0.0,126.0,,,,,0.0,9.0,,,
SYNTHETIC_CFL_2025_W10_MTL,2025-08-08,2025,10,CFL,EDM,MTL,,1.0,,,,,,,,,,0.0,79.0,,,,,0.0,1.0,,,
SYNTHETIC_CFL_2025_W15_MTL,2025-09-13,2025,15,CFL,MTL,SSK,,0.0,,,,,,,,,,3.0,379.0,,,,,0.0,12.0,,,
SYNTHETIC_CFL_2025_W16_MTL,2025-09-19,2025,16,CFL,MTL,TOR,,3.0,,,,,,,,,,2.0,228.0,,,,,0.0,1.0,,,
SYNTHETIC_CFL_2025_W21_MTL,2025-10-25,2025,21,CFL,MTL,WPG,,1.0,,,,,,,,,,0.0,182.0,,,,,,,,,
