game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,pass_defended,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,3.0,,,,,,,,,1.0,9.0,1.0,,4.0,7.0,2.0,0.0
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,1.0,,,,,,,,,,,,,0.0,1.0,0.5,0.0
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,0.0,,,,,,1.0,,,,-11.0,1.0,,3.0,3.0,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,1.0,,,,,,1.0,1.0,15.0,,,,,2.0,3.0,1.5,0.0
FOOTBALL_IFL_2026_5_31_TSANDIEGOSTRIKEFORCEG20260531B8VC@TNEWMEXICOCHUPACABRAS,2026-05-31,2026,12,IFL,San Diego Strike Force,New Mexico Chupacabras,1.0,,,,,,,,,,,,,4.0,5.0,2.5,0.0
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,0.0,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_IFL_2026_6_19_TVEGASKNIGHTHAWKSG20260619D0ZS@TSANDIEGOSTRIKEFORCE,2026-06-19,2026,15,IFL,Vegas Knight Hawks,San Diego Strike Force,2.0,,,,,,,,,,4.0,0.5,,1.0,3.0,0.5,0.0
FOOTBALL_IFL_2026_6_28_TSANDIEGOSTRIKEFORCEG20260628FR6E@TJACKSONVILLESHARKS,2026-06-28,2026,16,IFL,San Diego Strike Force,Jacksonville Sharks,3.0,,,,,,,,,,,,,3.0,6.0,1.0,0.0
FOOTBALL_IFL_2026_7_6_TARIZONARATTLERSG20260706J8KX@TSANDIEGOSTRIKEFORCE,2026-07-06,2026,17,IFL,Arizona Rattlers,San Diego Strike Force,3.0,,,,,,,,,1.0,5.0,1.0,,3.0,6.0,1.0,0.0
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,1.0,,,,,,,,,1.0,,,,0.0,1.0,,
FOOTBALL_IFL_2026_7_18_TNEWMEXICOCHUPACABRASG20260718EEFK@TSANDIEGOSTRIKEFORCE,2026-07-18,2026,19,IFL,New Mexico Chupacabras,San Diego Strike Force,1.0,,,,,,1.0,1.0,0.0,1.0,2.0,0.5,,2.0,3.0,0.5,0.0
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,1.0,,,,,,,1.0,0.0,,,,,3.0,4.0,1.0,0.0
