game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_tot,tackles
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,,,0.0,60.0,4.0,,,,,,,,,,,,,,,,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,,,1.0,84.0,3.0,,,,,,,,,,,,,,,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,,,,0.0,75.0,7.0,,,,,,,,,,,,,,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,,0.0,133.0,9.0,,,,,,,,,,,,,,,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,,0.0,15.0,1.0,,,,,,,,,,,,,,,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,0.0,0.0,26.0,5.0,,,,,,,,,,,,0.0,,,,1.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,,0.0,10.0,1.0,,,,,,,,,,,,,,,,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,,0.0,96.0,5.0,,,,,,,,,,,,,,,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,,0.0,29.0,3.0,,,,,,,,,,,,,,,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,1.0,72.0,4.0,,,,,,,,,,,,,,,,
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,0.0,59.0,6.0,,,,,,,,,,,,,,,,
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,0.0,0.0,27.0,3.0,,,,,,,,,,,,0.0,,,,1.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,0.0,,,,,,,,,,,,,,,0.0,,,,2.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,,,2.0,123.0,3.0,,,,,,,,,,,,,,,,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,,,0.0,123.0,6.0,,,,,,,,,,,,,,,,
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,,,0.0,28.0,1.0,,,,,,,,,,,,,,,,
10798063,2024-08-25,2024,12,CFL,EDM,MTL,,,,0.0,67.0,5.0,,,,,,,,,,,,,,,,
10798067,2024-09-02,2024,13,CFL,EDM,CGY,,,,2.0,208.0,5.0,,,,,,,,,,,,,,,,
10798071,2024-09-07,2024,14,CFL,CGY,EDM,,,,0.0,0.0,0.0,,,,,,,,,,1.0,13.0,,,,,
10798078,2024-09-21,2024,16,CFL,WPG,EDM,,,,0.0,24.0,3.0,,,,,,,,,,,,,,,,
10798079,2024-09-27,2024,17,CFL,EDM,WPG,,,,1.0,36.0,4.0,,,,,,,,,,0.0,0.0,,,,,
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,,,0.0,32.0,5.0,,,,,,,,,,,,,,,,
10798087,2024-10-12,2024,19,CFL,EDM,CGY,,,,0.0,76.0,6.0,,,,,,,,,,,,,,,,
10798094,2024-10-25,2024,21,CFL,TOR,EDM,,,,0.0,14.0,2.0,,,,,,,,,,,,,,,,
11824047,2025-06-07,2025,1,CFL,HAM,CGY,,,,0.0,48.0,4.0,,,,,,,,,,,,,,,,
11824051,2025-06-14,2025,2,CFL,CGY,TOR,,,,0.0,17.0,2.0,,,,,,,,,,,,,,,,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,,,,0.0,16.0,2.0,,,,,,,,,,,,,,,,
11824061,2025-07-03,2025,5,CFL,WPG,CGY,,,,0.0,49.0,4.0,,,,,,,,,,,,,,,,
11824065,2025-07-11,2025,6,CFL,CGY,SSK,,,,0.0,24.0,3.0,,,,,,,,,,,,,,,,
11824069,2025-07-18,2025,7,CFL,CGY,WPG,,,,0.0,64.0,4.0,,,,,,,,,,,,,,,,
11824072,2025-07-24,2025,8,CFL,MTL,CGY,,,,0.0,16.0,3.0,,,,,,,,,,,,,,,,
11824076,2025-07-31,2025,9,CFL,CGY,OTT,,,,0.0,56.0,4.0,,,,,,,,,,,,,,,,
11824083,2025-08-09,2025,10,CFL,WPG,CGY,,,,2.0,86.0,2.0,,,,,,,,,,,,,,,,
11824098,2025-09-06,2025,14,CFL,CGY,EDM,,,,0.0,30.0,3.0,,,,,,,,,,,,,,,,
11824104,2025-09-19,2025,16,CFL,BC,CGY,,,,1.0,57.0,4.0,,,,,,,,,,,,,,,,
11824107,2025-09-26,2025,17,CFL,CGY,MTL,,,,0.0,46.0,3.0,,,,,,,,,,0.0,8.0,,,,,
11824113,2025-10-04,2025,18,CFL,CGY,BC,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,
11824115,2025-10-11,2025,19,CFL,CGY,HAM,,,,0.0,15.0,3.0,,,,,,,,,,,,,,,,
11824121,2025-10-18,2025,20,CFL,TOR,CGY,,,,1.0,27.0,2.0,,,,,,,,,,,,,,,,
11824123,2025-10-24,2025,21,CFL,CGY,EDM,,,,0.0,63.0,3.0,,,,,,,,,,,,,,,,
