game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_20,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_r,score_tot,tackles
9889315,2023-08-04,2023,9,CFL,TOR,CGY,,,,0.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,,,0.0,33.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,0.0,41.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,,2.0,203.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,,0.0,49.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,,1.0,56.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,0.0,1.0,109.0,13.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,,0.0,25.0,4.0,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,,
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,,1.0,66.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,,,0.0,45.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798144,2024-05-25,2024,2,CFL,BC,CGY,,,,1.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798030,2024-06-29,2024,4,CFL,WPG,CGY,,,,0.0,50.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798034,2024-07-06,2024,5,CFL,CGY,MTL,,,,1.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798037,2024-07-12,2024,6,CFL,CGY,WPG,,,,0.0,62.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798043,2024-07-21,2024,7,CFL,BC,CGY,,,,1.0,52.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,,,0.0,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798051,2024-08-04,2024,9,CFL,TOR,CGY,,,,0.0,97.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798053,2024-08-09,2024,10,CFL,CGY,TOR,,,,0.0,104.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798056,2024-08-15,2024,11,CFL,OTT,CGY,,,,0.0,92.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798067,2024-09-02,2024,13,CFL,EDM,CGY,,,,0.0,118.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798071,2024-09-07,2024,14,CFL,CGY,EDM,,,,0.0,123.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798074,2024-09-14,2024,15,CFL,MTL,CGY,,,,0.0,68.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798076,2024-09-20,2024,16,CFL,SSK,CGY,,,,0.0,43.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798084,2024-10-04,2024,18,CFL,CGY,BC,,,,1.0,73.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798087,2024-10-12,2024,19,CFL,EDM,CGY,,,,0.0,79.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798090,2024-10-18,2024,20,CFL,CGY,HAM,,,,0.0,39.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10798096,2024-10-26,2024,21,CFL,CGY,SSK,,,,0.0,38.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
11824047,2025-06-07,2025,1,CFL,HAM,CGY,,,,0.0,58.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
11824051,2025-06-14,2025,2,CFL,CGY,TOR,,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
