game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pr,score_pts,score_tot
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,,,,,,22.0,9.0,10.0,,25.0,119.0,,,,,1.0,10.0,10.0,,,,,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,,,,,,16.0,5.0,5.0,,23.0,43.0,13.0,1.0,,13.0,1.0,3.0,3.0,,,,,,
FOOTBALL_CFL_2019_6_13_SSK@HAM,2019-06-13,2019,1,CFL,SSK,HAM,,,,,,,,,26.0,3.0,5.0,,34.0,43.0,,,,,1.0,4.0,4.0,,,,,,
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,,,,,,,39.0,5.0,6.0,,33.0,117.0,,,,,1.0,-4.0,-4.0,,,,,,
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,,,,,,,,,,4.0,5.0,1.0,93.0,127.0,,,,,1.0,-4.0,-4.0,,,1.0,,6.0,1.0
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,,,,,5.0,6.0,1.0,38.0,63.0,10.0,2.0,,12.0,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,,,,,4.0,6.0,1.0,1.0,38.0,18.0,7.0,,65.0,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,,,,7.0,4.0,6.0,,13.0,17.0,4.0,1.0,,4.0,,,,,,,,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,,,,,,,,10.0,6.0,7.0,,17.0,37.0,38.0,5.0,,80.0,,,,,,,,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,,,,,,,,,12.0,2.0,3.0,,6.0,18.0,11.0,1.0,,11.0,,,,,,,,,
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,,,,,,,34.0,3.0,4.0,,29.0,50.0,,,,,1.0,10.0,10.0,,,,,,
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,,,,,,,,16.0,4.0,4.0,,1.0,31.0,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,1.0,1.0,,,,,,,23.0,2.0,5.0,,28.0,30.0,4.0,2.0,,6.0,,,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,,,,,,,,6.0,7.0,1.0,32.0,69.0,10.0,1.0,,10.0,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,,,,,22.0,5.0,8.0,,11.0,70.0,6.0,2.0,,12.0,,,,,,,,,
6259,2022-09-04,2022,13,CFL,WPG,SSK,,,,,,0.0,58.0,7.0,,,,,,,,,,,,,,,,,,,
6264,2022-09-10,2022,14,CFL,SSK,WPG,,,,,,0.0,56.0,6.0,,,,,,,,,,,,,,,,,,,
6266,2022-09-16,2022,15,CFL,EDM,SSK,,,,,,0.0,45.0,3.0,,,,,,,,,,,,,,,,,,,
6272,2022-09-30,2022,17,CFL,SSK,WPG,,,,,,0.0,76.0,10.0,,,,,,,,,,,,,,,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,,,,,0.0,21.0,5.0,,,,,,,,,,,,,,,,,,,
6287,2022-10-22,2022,20,CFL,CGY,SSK,,,,,,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,,,0.0,48.0,5.0,,,,,,,,,,,,,,,,,,,
9889295,2023-06-30,2023,4,CFL,EDM,OTT,,,,,,0.0,35.0,2.0,,,,,,,,,,,,,,,,,,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,,,,,0.0,47.0,5.0,,,,,,,,,,,,,,,,,,,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,,,,1.0,101.0,4.0,,,,,,,,,,,,,,,,,,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,,,,0.0,43.0,5.0,,,,,,,,,,,,,,,,,,,
9889312,2023-07-29,2023,8,CFL,BC,EDM,,,,,,0.0,61.0,4.0,,,,,,,,,,,,,,,,,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,1.0,96.0,5.0,,,,,,,,,,,,,,,,,,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,,,0.0,8.0,2.0,,,,,,,,,,,,,,0.0,8.0,,,,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,,,,0.0,21.0,3.0,,,,,,,,,,,,,,,,,,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,0.0,1.0,19.0,0.0,21.0,3.0,,,,,,,,,,,,,,0.0,8.0,,,,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,,,,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,,,0.0,59.0,6.0,,,,,,,,,,,,,,,,,,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,0.0,56.0,8.0,,,,,,,,,,,,,,,,,,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,,0.0,45.0,5.0,,,,,,,,,,,,,,,,,,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,,,,2.0,44.0,5.0,,,,,,,,,,,,,,,,,,,
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,,,0.0,41.0,2.0,,,,,,,,,,,,,,,,,,,
