game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,sacks,score_p,score_pts,score_tot,tackles
9889297,2023-07-03,2023,4,CFL,BC,TOR,,0.0,81.0,4.0,,,,,,,,,,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,,0.0,31.0,1.0,,,,,,,,,,,
9889312,2023-07-29,2023,8,CFL,BC,EDM,,1.0,35.0,2.0,,,,,,,,,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,0.0,0.0,0.0,,,,,,,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,0.0,16.0,1.0,,,,,,,,,,,
9889325,2023-08-20,2023,11,CFL,BC,SSK,0.0,0.0,25.0,3.0,,,,,,,0.0,,,,1.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,0.0,32.0,3.0,,,,,,,,,,,
9889330,2023-09-02,2023,13,CFL,BC,MTL,,0.0,55.0,4.0,,,,,,,,,,,
9889341,2023-09-16,2023,15,CFL,OTT,BC,0.0,2.0,118.0,8.0,,,,,,,0.0,,,,1.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,0.0,1.0,22.0,2.0,,,,,,,0.0,,,,1.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,0.0,17.0,1.0,,,,,,,,,,,
9889358,2023-10-20,2023,20,CFL,CGY,BC,,0.0,108.0,7.0,,,,,,,,,,,
10798019,2024-06-09,2024,1,CFL,BC,TOR,,1.0,103.0,7.0,,,,,,,,,,,
10798144,2024-05-25,2024,2,CFL,BC,CGY,,1.0,91.0,4.0,,,,,,,,,,,
10798025,2024-06-21,2024,3,CFL,BC,WPG,,0.0,95.0,6.0,,,,,,,,,,,
10798028,2024-06-27,2024,4,CFL,EDM,BC,,0.0,49.0,4.0,,,,,,,,,,,
10798035,2024-07-07,2024,5,CFL,BC,HAM,,2.0,144.0,10.0,,,,,,,,,,,
10798038,2024-07-13,2024,6,CFL,SSK,BC,,1.0,243.0,14.0,,,,,,,,,,,
10798043,2024-07-21,2024,7,CFL,BC,CGY,,1.0,55.0,3.0,,,,,,,,,,,
10798048,2024-08-01,2024,9,CFL,BC,WPG,,0.0,0.0,0.0,,,,,,,,,,,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,0.0,54.0,3.0,,,,,,,,,,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,0.0,41.0,4.0,,,,,,,,,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,0.0,79.0,5.0,,,,,,,,,,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,1.0,72.0,3.0,,,,,,,,,,,
10798068,2024-09-06,2024,14,CFL,BC,MTL,,0.0,48.0,4.0,,,,,,,,,,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,,0.0,95.0,4.0,,,,,,,,,,,
10798080,2024-09-27,2024,17,CFL,HAM,BC,,0.0,38.0,3.0,,,,,,,,,,,
10798084,2024-10-04,2024,18,CFL,CGY,BC,,0.0,37.0,5.0,,,,,,,,,,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,,0.0,119.0,6.0,,,,,,,,,,,
10798092,2024-10-19,2024,20,CFL,MTL,BC,,0.0,106.0,7.0,,,,,,,,,,,
11824048,2025-06-07,2025,1,CFL,EDM,BC,,1.0,45.0,5.0,,,,,,,,,,,
11824049,2025-06-12,2025,2,CFL,BC,WPG,,0.0,58.0,4.0,,,,,,,,,,,
11824056,2025-06-21,2025,3,CFL,WPG,BC,,0.0,94.0,9.0,,,,,,,,,,,
11824059,2025-06-28,2025,4,CFL,BC,SSK,,0.0,16.0,2.0,,,,,,,,,,,
11824063,2025-07-05,2025,5,CFL,BC,MTL,,0.0,109.0,6.0,,,,,,,,,,,
11824067,2025-07-13,2025,6,CFL,BC,EDM,,0.0,12.0,1.0,,,,,,,,,,,
11824070,2025-07-19,2025,7,CFL,SSK,BC,,0.0,28.0,1.0,,,,,,,,,,,
11824075,2025-07-27,2025,8,CFL,HAM,BC,,0.0,23.0,2.0,,,,,,,,,,,
11824080,2025-08-07,2025,10,CFL,BC,HAM,,0.0,159.0,8.0,,,,,,,,,,,
11824087,2025-08-16,2025,11,CFL,MTL,BC,,1.0,66.0,5.0,,,,,,,,,,,
11824090,2025-08-23,2025,12,CFL,BC,TOR,,0.0,57.0,3.0,,,,,,,,,,,
11824095,2025-09-05,2025,14,CFL,BC,OTT,,1.0,148.0,7.0,,,,,,,,,,,
11824100,2025-09-12,2025,15,CFL,OTT,BC,,0.0,73.0,4.0,,,,,,,,,,,
11824104,2025-09-19,2025,16,CFL,BC,CGY,,2.0,88.0,5.0,,,,,,,,,,,
11824108,2025-09-26,2025,17,CFL,TOR,BC,,1.0,78.0,4.0,,,,,,,,,,,
11824113,2025-10-04,2025,18,CFL,CGY,BC,,1.0,61.0,2.0,,,,,,,,,,,
11824119,2025-10-17,2025,20,CFL,EDM,BC,,0.0,96.0,5.0,,,,,,,,,,,
11824125,2025-10-25,2025,21,CFL,BC,SSK,,0.0,45.0,3.0,,,,,,,,,,,
