game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,,,,,,,,,,8.0,10.0,1.0,49.0,162.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,,,,,,,,,,,31.0,4.0,4.0,1.0,39.0,55.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,,,,,,,,,,15.0,7.0,8.0,,14.0,68.0,,,,,,,,
FOOTBALL_CFL_2022_6_30_BC@OTT,2022-06-30,2022,1,CFL,BC,OTT,,,,,,,,,,,,7.0,7.0,1.0,60.0,166.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,,,,,,,,18.0,3.0,7.0,,12.0,42.0,,,,,,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,,,,,,,,40.0,7.0,10.0,,19.0,110.0,,,,,,,,
FOOTBALL_CFL_2022_7_9_WPG@BC,2022-07-09,2022,1,CFL,WPG,BC,,,,,,,,,,,13.0,1.0,3.0,,,13.0,,,,,,,,
FOOTBALL_CFL_2022_8_13_BC@CGY,2022-08-13,2022,1,CFL,BC,CGY,1.0,1.0,,,,,,,,,16.0,6.0,6.0,,17.0,61.0,,,,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,,,,,,,,14.0,2.0,4.0,,17.0,26.0,,,,,,,,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,,,,,,,,,,13.0,2.0,6.0,,7.0,24.0,,,,,,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,,,,,,,,25.0,5.0,5.0,,28.0,88.0,,,,,,,,
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,,,,,,,,,,17.0,3.0,5.0,,24.0,45.0,,,,,,,,
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,,,,,,,,,,,21.0,3.0,8.0,,13.0,50.0,,,,,,,,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,,,,,,,,,,,34.0,3.0,4.0,1.0,3.0,47.0,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,,,,,,,,47.0,3.0,5.0,,27.0,72.0,,,,,,,,
SYNTHETIC_CFL_2022_W1_BC,,2022,1,CFL,,,,,,,,,,1.0,55.0,4.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_BC,,2022,4,CFL,,,,,,,,,,1.0,166.0,7.0,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_BC,,2022,5,CFL,,,,,,,,,,0.0,13.0,1.0,,,,,,,,,,,,,,
6235,2022-07-21,2022,7,CFL,HAM,BC,,,,,,,,0.0,42.0,3.0,,,,,,,,,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,,,,,,,,0.0,110.0,7.0,,,,,,,,,,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,,,,,,,,0.0,88.0,5.0,,,,,,,,,,,,,,
6248,2022-08-13,2022,10,CFL,BC,CGY,,,,,,,,0.0,61.0,6.0,,,,,,,,,,,,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,,,,,,,0.0,26.0,2.0,,,,,,,,,,,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,,,,,,0.0,72.0,3.0,,,,,,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,,,,,,,0.0,45.0,3.0,,,,,,,,,,,,,,
6271,2022-09-24,2022,16,CFL,CGY,BC,,,,,,,,0.0,50.0,3.0,,,,,,,,,,,,,,
6273,2022-09-30,2022,17,CFL,OTT,BC,,,,,,,,1.0,47.0,3.0,,,,,,,,,,,,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,,,,,,1.0,43.0,3.0,,,,,,,,,,,,,,
6283,2022-10-15,2022,19,CFL,WPG,BC,,,,,,,,0.0,25.0,3.0,,,,,,,,,,,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,,,,,,,1.0,49.0,3.0,,,,,,,,,,,,,,
6288,2022-10-28,2022,21,CFL,BC,WPG,,,,,,,,0.0,59.0,5.0,,,,,,,,,,,,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,,,,,,1.0,104.0,8.0,,,,,,,,,,,,,,
9889301,2023-07-09,2023,5,CFL,MTL,BC,,,,,,,,0.0,68.0,6.0,,,,,,,,,,,,,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,,,,,,,,0.0,74.0,4.0,,,,,,,,,,,,,,
9889312,2023-07-29,2023,8,CFL,BC,EDM,,,0.0,,,0.0,0.0,0.0,87.0,5.0,,,,,,,,,,,,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,,,,,,,0.0,60.0,4.0,,,,,,,,,,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,,,,,,,1.0,170.0,9.0,,,,,,,,,,,,,,
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,,,,,,1.0,94.0,6.0,,,,,,,,,,,,,,
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,,,,1.0,107.0,7.0,,,,,,,,,,,,,,
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,,,,,,1.0,56.0,5.0,,,,,,,,,,,,,,
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,,,,0.0,20.0,1.0,,,,,,,,,,,,,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,,,0.0,91.0,4.0,,,,,,,,,,,,,,
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,,0.0,,,,1.0,172.0,10.0,,,,,,,,,,0.0,,,,1.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,,,,,0.0,31.0,3.0,,,,,,,,,,,,,,
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,,,,,0.0,92.0,6.0,,,,,,,,,,,,,,
10798048,2024-08-01,2024,9,CFL,BC,WPG,,,,,,,,0.0,28.0,3.0,,,,,,,,,,,,,,
10798055,2024-08-11,2024,10,CFL,BC,EDM,,,,,,,,0.0,62.0,4.0,,,,,,,,,,,,,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,,,,,,,0.0,18.0,1.0,,,,,,,,,,,,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,,,,,,,0.0,44.0,4.0,,,,,,,,,,,,,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,,,,,,0.0,71.0,3.0,,,,,,,,,,,,,,
10798068,2024-09-06,2024,14,CFL,BC,MTL,,,,,,,,0.0,46.0,3.0,,,,,,,,,,,,,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,,,,,,,,0.0,59.0,3.0,,,,,,,,,,,,,,
10798080,2024-09-27,2024,17,CFL,HAM,BC,,,,,,,,0.0,38.0,2.0,,,,,,,,,,,,,,
10798084,2024-10-04,2024,18,CFL,CGY,BC,,,,,,,,0.0,97.0,4.0,,,,,,,,,,,,,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,,,,,,,,0.0,28.0,3.0,,,,,,,,,,,,,,
10798092,2024-10-19,2024,20,CFL,MTL,BC,,,,,,,,0.0,117.0,8.0,,,,,,,,,,,,,,
11824048,2025-06-07,2025,1,CFL,EDM,BC,,,,,,,,,52.0,4.0,,,,,,,,,,,,,,
11824049,2025-06-12,2025,2,CFL,BC,WPG,,,,,,,,1.0,150.0,4.0,,,,,,,,,,,,,,
11824056,2025-06-21,2025,3,CFL,WPG,BC,,,,,,,,0.0,92.0,6.0,,,,,,,,,,,,,,
11824059,2025-06-28,2025,4,CFL,BC,SSK,,,,,,,,1.0,44.0,3.0,,,,,,,,,,,,,,
11824063,2025-07-05,2025,5,CFL,BC,MTL,,,,,,,,0.0,48.0,4.0,,,,,,,,,,,,,,
11824067,2025-07-13,2025,6,CFL,BC,EDM,,,,,,,,0.0,130.0,9.0,,,,,,,,,,,,,,
11824070,2025-07-19,2025,7,CFL,SSK,BC,,,,,,,,0.0,58.0,5.0,,,,,,,,,,,,,,
11824075,2025-07-27,2025,8,CFL,HAM,BC,,,,,,,,0.0,117.0,5.0,,,,,,,,,,,,,,
11824080,2025-08-07,2025,10,CFL,BC,HAM,,,,,,,,0.0,31.0,3.0,,,,,,,,,,,,,,
11824087,2025-08-16,2025,11,CFL,MTL,BC,,,,,,,,2.0,156.0,11.0,,,,,,,,,,,,,,
11824090,2025-08-23,2025,12,CFL,BC,TOR,,,,,,,,0.0,131.0,7.0,,,,,,,,,,,,,,
11824095,2025-09-05,2025,14,CFL,BC,OTT,,,,,,,,0.0,64.0,5.0,,,,,,,,,,,,,,
11824100,2025-09-12,2025,15,CFL,OTT,BC,,,,,,,,1.0,97.0,5.0,,,,,,,,,,,,,,
11824104,2025-09-19,2025,16,CFL,BC,CGY,,,,,,,,0.0,147.0,8.0,,,,,,,,,,,,,,
11824108,2025-09-26,2025,17,CFL,TOR,BC,,,,,,,,0.0,87.0,4.0,,,,,,,,,,,,,,
11824113,2025-10-04,2025,18,CFL,CGY,BC,,,,,,,,2.0,112.0,7.0,,,,,,,,,,,,,,
11824119,2025-10-17,2025,20,CFL,EDM,BC,,,,,,,,1.0,97.0,5.0,,,,,,,,,,,,,,
11824125,2025-10-25,2025,21,CFL,BC,SSK,,,,,,,,1.0,75.0,7.0,,,,,,,,,,,,,,
