game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202409010MIN,2024-09-01,2024,1,WNBA,CHI,MIN,,,,,,,,,,,,,,4.266666666666667,,-3.0,,,,1.0
WNBA_202409030LVA,2024-09-03,2024,1,WNBA,CHI,LVA,,,2.0,,2.0,,0.375,8.0,3.0,1.0,1.0,2.0,2.0,18.05,2.0,-21.0,8.0,4.0,1.0,3.0
WNBA_202409060CHI,2024-09-06,2024,1,WNBA,LAS,CHI,,,,,,,0.4,5.0,2.0,1.0,,,,10.5,,1.0,4.0,,1.0,
WNBA_202409080CHI,2024-09-08,2024,1,WNBA,DAL,CHI,2.0,1.0,8.0,,1.0,,0.5,18.0,9.0,4.0,1.0,3.0,3.0,32.56666666666667,1.0,16.0,21.0,9.0,2.0,1.0
WNBA_202409110CHI,2024-09-11,2024,1,WNBA,WAS,CHI,2.0,1.0,5.0,,,,0.333,15.0,5.0,6.0,,1.0,,30.25,3.0,-21.0,10.0,8.0,,2.0
WNBA_202409130MIN,2024-09-13,2024,1,WNBA,CHI,MIN,1.0,,2.0,,,,0.25,4.0,1.0,3.0,,,,13.6,1.0,-19.0,2.0,3.0,,
WNBA_202409150CHI,2024-09-15,2024,1,WNBA,PHO,CHI,1.0,,4.0,,1.0,,0.385,13.0,5.0,1.0,,,,31.0,4.0,-9.0,10.0,8.0,,
WNBA_202409170ATL,2024-09-17,2024,1,WNBA,CHI,ATL,1.0,1.0,7.0,,1.0,,0.286,14.0,4.0,2.0,0.833,6.0,5.0,32.666666666666664,4.0,-8.0,13.0,11.0,,2.0
WNBA_202409190CON,2024-09-19,2024,1,WNBA,CHI,CON,2.0,2.0,9.0,0.5,2.0,1.0,0.5,12.0,6.0,,,1.0,,28.866666666666667,2.0,-18.0,13.0,11.0,,1.0
WNBA_202505170NYL,2025-05-17,2025,1,WNBA,LVA,NYL,,,,,,,,,,,,,,0.6,,,,,,
WNBA_202505220CHI,2025-05-22,2025,1,WNBA,NYL,CHI,1.0,,2.0,,,,,2.0,,,,,,6.3,,-3.0,,2.0,,2.0
WNBA_202505270NYL,2025-05-27,2025,1,WNBA,GSV,NYL,2.0,,1.0,,1.0,,0.667,3.0,2.0,,,,,7.4,,7.0,4.0,1.0,,
WNBA_202505290NYL,2025-05-29,2025,1,WNBA,GSV,NYL,,,1.0,,,,,1.0,,2.0,,,,3.4833333333333334,,-4.0,,1.0,,2.0
WNBA_202505300WAS,2025-05-30,2025,1,WNBA,NYL,WAS,,,2.0,,,,0.667,3.0,2.0,3.0,,,,8.7,1.0,-2.0,4.0,3.0,,
WNBA_202506010NYL,2025-06-01,2025,1,WNBA,CON,NYL,1.0,,5.0,1.0,1.0,1.0,0.667,6.0,4.0,1.0,,,,16.883333333333333,1.0,8.0,9.0,6.0,3.0,2.0
WNBA_202506050WAS,2025-06-05,2025,1,WNBA,NYL,WAS,,,2.0,,1.0,,0.429,7.0,3.0,5.0,0.5,2.0,1.0,15.2,3.0,1.0,7.0,5.0,2.0,
WNBA_202506100NYL,2025-06-10,2025,1,WNBA,CHI,NYL,1.0,,4.0,,1.0,,,3.0,,,,,,15.966666666666667,1.0,,,5.0,,
WNBA_202506140IND,2025-06-14,2025,1,WNBA,NYL,IND,1.0,,2.0,,,,0.5,2.0,1.0,,,,,7.85,2.0,-14.0,2.0,4.0,,
WNBA_202506170NYL,2025-06-17,2025,1,WNBA,ATL,NYL,,,1.0,,1.0,,,1.0,,,,,,3.4333333333333336,,-3.0,,1.0,,
