game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
6235,2022-07-21,2022,7,CFL,HAM,BC,,,2.0,,,,,,,,,2.0,250.0,,,,,,,,,,,,,0.0,8.0,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,,,0.0,,,,,,,,,2.0,336.0,,,,,,,,,,,,,1.0,20.0,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,,,0.0,,,,,,,,,5.0,477.0,,,,,,,,,,,,,1.0,25.0,,,
6248,2022-08-13,2022,10,CFL,BC,CGY,,,2.0,,,,,,,,,2.0,488.0,,,,,,,,,,,,,2.0,8.0,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,,2.0,,,,,,,,,2.0,375.0,,,,,,,,,,,,,0.0,63.0,,,
6288,2022-10-28,2022,21,CFL,BC,WPG,,,0.0,,,,,,,,,0.0,68.0,,,,,,,,,,,,,,,,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,,2.0,,,,,,,,,0.0,126.0,,,,,,,,,,,,,0.0,27.0,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,,1.0,,,,,,,,,0.0,234.0,,,,,,,,,,,,,0.0,63.0,,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,1.0,,,,,,,,,3.0,325.0,,,,,,,,,,,,,1.0,29.0,,,
10798068,2024-09-06,2024,14,CFL,BC,MTL,,,3.0,,,,,,,,,1.0,304.0,,,,,,,,,,,,,1.0,27.0,,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,,,0.0,,,,,,,,,0.0,110.0,,,,,,,,,,,,,1.0,9.0,,,
10798080,2024-09-27,2024,17,CFL,HAM,BC,,,0.0,,,,,,,,,0.0,264.0,,,,,,,,,,,,,2.0,30.0,,,
10798084,2024-10-04,2024,18,CFL,CGY,BC,,,0.0,,,,,,,,,0.0,218.0,,,,,,,,,,,,,0.0,23.0,,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,,,2.0,,,,,,,,,0.0,200.0,,,,,,,,,,,,,0.0,5.0,,,
11824048,2025-06-07,2025,1,CFL,EDM,BC,,,,,,,,,,,,3.0,324.0,,,,,,,,,,,,,,54.0,,,
11824049,2025-06-12,2025,2,CFL,BC,WPG,,,1.0,,,,,,,,,1.0,249.0,,,,,,,,,,,,,1.0,58.0,,,
11824063,2025-07-05,2025,5,CFL,BC,MTL,,,1.0,,,,,,,,,1.0,352.0,,,,,,,,,,,,,1.0,43.0,,,
11824067,2025-07-13,2025,6,CFL,BC,EDM,,,1.0,,,,,,,,,2.0,345.0,,,,,,,,,,,,,0.0,8.0,,,
11824070,2025-07-19,2025,7,CFL,SSK,BC,,,1.0,,,,,,,,,3.0,337.0,,,,,,,,,,,,,0.0,13.0,,,
11824075,2025-07-27,2025,8,CFL,HAM,BC,,,0.0,,,,,,,,,0.0,289.0,,,,,,,,,,,,,0.0,34.0,,,
11824080,2025-08-07,2025,10,CFL,BC,HAM,,,1.0,,,,,,,,,2.0,408.0,0.0,-2.0,1.0,,,,,,,,,,0.0,28.0,,,
11824087,2025-08-16,2025,11,CFL,MTL,BC,,,1.0,,,,,,,,,4.0,382.0,,,,,,,,,,,,,0.0,31.0,,,
11824090,2025-08-23,2025,12,CFL,BC,TOR,,,1.0,,,,,,,,,2.0,326.0,,,,,,,,,,,,,0.0,47.0,,,
11824095,2025-09-05,2025,14,CFL,BC,OTT,,,2.0,,,,,,,,,1.0,284.0,,,,,,,,,,,,,0.0,29.0,,,
11824100,2025-09-12,2025,15,CFL,OTT,BC,,,0.0,,,,,,,,,1.0,308.0,,,,,,,,,,,,,2.0,36.0,,,
11824104,2025-09-19,2025,16,CFL,BC,CGY,,,0.0,,,,,,,,,2.0,331.0,,,,,,,,,,,,,3.0,43.0,,,
11824108,2025-09-26,2025,17,CFL,TOR,BC,,,3.0,,,,,,,,,1.0,235.0,,,,,,,,,,,,,2.0,31.0,,,
11824113,2025-10-04,2025,18,CFL,CGY,BC,,,2.0,,,,,,,,,4.0,414.0,,,,,,,,,,,,,0.0,22.0,,,
11824119,2025-10-17,2025,20,CFL,EDM,BC,,,1.0,,,,,,,,,1.0,338.0,,,,,,,,,,,,,1.0,82.0,,,
11824125,2025-10-25,2025,21,CFL,BC,SSK,,,1.0,,,,,,,,,3.0,368.0,,,,,,,,,,,,,0.0,5.0,,,
