game_id,date,season,week,league,away,home,conversions,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W8_HAM,,2023,8,CFL,,,,,,,,0.0,46.0,4.0,,,,
SYNTHETIC_CFL_2023_W9_HAM,,2023,9,CFL,,,,,,,,0.0,21.0,2.0,,,,
SYNTHETIC_CFL_2023_W11_HAM,,2023,11,CFL,,,,,0.0,,,0.0,101.0,9.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W12_HAM,,2023,12,CFL,,,,,,,,0.0,57.0,5.0,0.0,5.0,,
SYNTHETIC_CFL_2023_W13_HAM,,2023,13,CFL,,,,,,,,1.0,110.0,8.0,0.0,-1.0,,
SYNTHETIC_CFL_2023_W14_HAM,,2023,14,CFL,,,,,,,,2.0,180.0,7.0,0.0,18.0,,
SYNTHETIC_CFL_2023_W15_HAM,,2023,15,CFL,,,,,0.0,,,0.0,55.0,5.0,0.0,52.0,0.0,1.0
SYNTHETIC_CFL_2023_W16_HAM,,2023,16,CFL,,,,,,,,0.0,26.0,3.0,0.0,5.0,,
SYNTHETIC_CFL_2023_W17_HAM,,2023,17,CFL,,,,,0.0,,,1.0,96.0,3.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W18_HAM,,2023,18,CFL,,,,,0.0,,,0.0,129.0,3.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W19_HAM,,2023,19,CFL,,,,,,,,2.0,112.0,7.0,0.0,0.0,,
SYNTHETIC_CFL_2024_W1_HAM,,2024,1,CFL,,,,,,,,0.0,55.0,6.0,,,,
SYNTHETIC_CFL_2024_W2_HAM,,2024,2,CFL,,,,,,,,0.0,57.0,4.0,,,,
SYNTHETIC_CFL_2024_W3_HAM,,2024,3,CFL,,,,,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2024_W4_HAM,,2024,4,CFL,,,,,,,,1.0,118.0,8.0,0.0,2.0,,
SYNTHETIC_CFL_2024_W5_HAM,,2024,5,CFL,,,,,,,,0.0,55.0,5.0,,,,
SYNTHETIC_CFL_2024_W7_HAM,,2024,7,CFL,,,,,,,,0.0,66.0,5.0,,,,
SYNTHETIC_CFL_2024_W8_HAM,,2024,8,CFL,,,,,,,,2.0,23.0,2.0,,,,
SYNTHETIC_CFL_2024_W9_HAM,,2024,9,CFL,,,,,,,,1.0,45.0,3.0,,,,
SYNTHETIC_CFL_2024_W10_HAM,,2024,10,CFL,,,,,,,,0.0,50.0,4.0,,,,
SYNTHETIC_CFL_2024_W11_HAM,,2024,11,CFL,,,,,,,,0.0,46.0,3.0,0.0,4.0,,
SYNTHETIC_CFL_2024_W12_HAM,,2024,12,CFL,,,,,,,,0.0,134.0,7.0,0.0,31.0,,
SYNTHETIC_CFL_2024_W13_HAM,,2024,13,CFL,,,,,,,,2.0,180.0,6.0,,,,
SYNTHETIC_CFL_2024_W15_HAM,,2024,15,CFL,,,,,,,,0.0,21.0,1.0,,,,
SYNTHETIC_CFL_2024_W16_HAM,,2024,16,CFL,,,,,,,,0.0,24.0,2.0,,,,
SYNTHETIC_CFL_2024_W17_HAM,,2024,17,CFL,,,1.0,0.0,,0.0,3.0,0.0,74.0,7.0,,,,
SYNTHETIC_CFL_2024_W18_HAM,,2024,18,CFL,,,,,,,,0.0,50.0,4.0,,,,
SYNTHETIC_CFL_2024_W20_HAM,,2024,20,CFL,,,,,,,,2.0,128.0,5.0,0.0,0.0,,
SYNTHETIC_CFL_2024_W21_HAM,,2024,21,CFL,,,,,,,,0.0,38.0,2.0,,,,
SYNTHETIC_CFL_2025_W1_HAM,,2025,1,CFL,,,,,,,,0.0,69.0,6.0,0.0,14.0,,
SYNTHETIC_CFL_2025_W2_HAM,,2025,2,CFL,,,,,,,,1.0,22.0,3.0,,,,
SYNTHETIC_CFL_2025_W4_HAM,,2025,4,CFL,,,,,,,,1.0,78.0,9.0,,,,
SYNTHETIC_CFL_2025_W5_HAM,,2025,5,CFL,,,,,,,,0.0,30.0,2.0,,,,
SYNTHETIC_CFL_2025_W6_HAM,,2025,6,CFL,,,,,,,,0.0,60.0,4.0,,,,
SYNTHETIC_CFL_2025_W7_HAM,,2025,7,CFL,,,,,,,,0.0,89.0,8.0,,,,
SYNTHETIC_CFL_2025_W8_HAM,,2025,8,CFL,,,,,,,,0.0,86.0,6.0,,,,
SYNTHETIC_CFL_2025_W9_HAM,,2025,9,CFL,,,,,,,,2.0,78.0,7.0,,,,
SYNTHETIC_CFL_2025_W10_HAM,,2025,10,CFL,,,,,,,,0.0,84.0,5.0,0.0,2.0,,
SYNTHETIC_CFL_2025_W11_HAM,,2025,11,CFL,,,,,,,,0.0,11.0,1.0,,,,
SYNTHETIC_CFL_2025_W13_HAM,,2025,13,CFL,,,,,,,,0.0,31.0,3.0,,,,
SYNTHETIC_CFL_2025_W14_HAM,,2025,14,CFL,,,,,,,,0.0,26.0,4.0,0.0,42.0,,
SYNTHETIC_CFL_2025_W15_HAM,,2025,15,CFL,,,,,,,,1.0,64.0,5.0,,,,
SYNTHETIC_CFL_2025_W16_HAM,,2025,16,CFL,,,,,,,,,84.0,5.0,,15.0,,
SYNTHETIC_CFL_2025_W17_HAM,,2025,17,CFL,,,,,,,,0.0,18.0,2.0,,,,
SYNTHETIC_CFL_2025_W18_HAM,,2025,18,CFL,,,,,,,,0.0,13.0,2.0,,,,
SYNTHETIC_CFL_2025_W19_HAM,,2025,19,CFL,,,,,,,,0.0,104.0,8.0,,,,
SYNTHETIC_CFL_2025_W21_HAM,,2025,21,CFL,,,,,,,,2.0,69.0,4.0,0.0,17.0,,
